Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Country,Season
D2,2001-07-27,Duisburg,Ahlen,1,4,A,1,2,A,12004,Florian Meyer ,24.0,15.0,9.0,5.0,1.0,1.0,12.0,4.0,10.0,9.0,6.0,2.0,3,4,0,0,30,40,1.83,3.2,3.7,1.8,3.0,3.5,,,,1.91,3.25,3.5,1.75,3.2,3.9,DE,2001/2002
D2,2001-07-27,Greuther Furth,Oberhausen,2,2,D,1,1,D,7051,Jörg Kessler ,13.0,8.0,4.0,5.0,0.0,0.0,1.0,3.0,20.0,8.0,3.0,2.0,1,4,0,1,10,65,1.8,3.2,3.85,1.85,2.9,3.4,,,,1.8,3.25,4.0,1.75,3.2,3.9,DE,2001/2002
D2,2001-07-27,Saarbrucken,Mannheim,1,3,A,0,2,A,18000,Wolfgang Stark ,6.0,6.0,3.0,4.0,0.0,0.0,6.0,3.0,17.0,15.0,4.0,5.0,4,2,0,0,40,20,2.18,3.1,2.85,,,,,,,,,,2.0,3.15,3.1,DE,2001/2002
D2,2001-07-28,Bielefeld,Babelsberg,0,1,A,0,0,D,10641,Alfons Berg ,14.0,7.0,3.0,2.0,1.0,2.0,6.0,1.0,20.0,8.0,14.0,3.0,1,2,0,0,10,20,1.58,3.35,5.0,1.55,3.3,4.5,,,,1.67,3.4,4.5,1.5,3.5,5.3,DE,2001/2002
D2,2001-07-28,Ein Frankfurt,Reutlingen,3,1,H,0,1,A,17000,Herbert Fandel ,,,,,,,,,,,,,2,1,0,0,20,10,1.52,3.5,5.4,1.45,3.5,5.0,,,,,,,1.5,3.5,5.3,DE,2001/2002
D2,2001-07-29,Aachen,Mainz,0,2,A,0,0,D,12000,Peter Sippel ,11.0,7.0,3.0,6.0,0.0,0.0,11.0,2.0,11.0,12.0,2.0,2.0,2,3,0,0,20,30,1.84,3.2,3.7,1.9,2.9,3.2,,,,1.91,3.2,3.6,1.8,3.1,3.8,DE,2001/2002
D2,2001-07-29,Karlsruhe,Schweinfurt,1,0,H,0,0,D,13000,Lutz Wagner ,11.0,8.0,6.0,4.0,0.0,0.0,7.0,1.0,12.0,13.0,2.0,5.0,2,3,0,0,20,30,1.62,3.3,4.8,1.6,3.2,4.2,,,,1.62,3.4,5.0,1.55,3.5,4.8,DE,2001/2002
D2,2001-07-29,Unterhaching,Bochum,0,2,A,0,0,D,5500,Knut Kircher ,14.0,8.0,6.0,4.0,0.0,0.0,8.0,2.0,8.0,6.0,1.0,0.0,0,1,0,0,0,10,2.07,3.05,3.15,2.2,2.9,2.7,,,,2.0,3.25,3.25,2.2,3.0,2.85,DE,2001/2002
D2,2001-07-30,Union Berlin,Hannover,1,1,D,0,0,D,9072,Jürgen Jansen ,14.0,11.0,2.0,3.0,1.0,0.0,5.0,4.0,19.0,22.0,3.0,0.0,3,3,0,1,30,55,1.9,3.2,3.4,2.0,2.9,3.0,,,,,,,2.1,3.0,3.05,DE,2001/2002
D2,2001-03-08,Ahlen,Greuther Furth,1,0,H,1,0,H,7513,Kai Voss ,8.0,10.0,5.0,4.0,1.0,1.0,6.0,7.0,29.0,26.0,3.0,1.0,2,3,0,0,20,30,,,,1.9,2.9,3.2,,,,2.0,3.2,3.3,2.1,3.1,2.95,DE,2001/2002
D2,2001-03-08,Oberhausen,Union Berlin,0,3,A,0,1,A,6000,Matthias Anklam ,9.0,8.0,3.0,3.0,0.0,0.0,10.0,2.0,10.0,9.0,2.0,0.0,2,2,0,0,20,20,,,,1.7,3.1,3.8,,,,1.91,3.2,3.6,1.75,3.15,4.0,DE,2001/2002
D2,2001-03-08,Schweinfurt,Saarbrucken,2,1,H,1,1,D,7152,Thorsten Kinhöfer ,13.0,19.0,9.0,8.0,0.0,1.0,3.0,5.0,17.0,16.0,0.0,1.0,2,4,0,0,20,40,,,,2.4,2.9,2.4,,,,2.38,3.1,2.7,2.5,2.95,2.5,DE,2001/2002
D2,2001-04-08,Bochum,Karlsruhe,1,1,D,1,1,D,13000,Michael Weiner ,8.0,7.0,2.0,6.0,0.0,0.0,4.0,2.0,9.0,17.0,1.0,2.0,3,2,1,0,55,20,,,,1.45,3.5,5.0,,,,1.57,3.6,5.0,1.5,3.45,5.5,DE,2001/2002
D2,2001-04-08,Reutlingen,Bielefeld,2,3,A,1,2,A,6970,Uwe Kemmling ,7.0,10.0,3.0,9.0,0.0,0.0,7.0,4.0,13.0,11.0,1.0,1.0,1,2,0,0,10,20,,,,1.8,3.0,3.5,,,,1.83,3.25,3.75,1.8,3.15,3.75,DE,2001/2002
D2,2001-05-08,Babelsberg,Duisburg,3,1,H,1,1,D,7200,Thorsten Koop ,13.0,10.0,8.0,5.0,1.0,0.0,4.0,7.0,9.0,10.0,3.0,3.0,1,2,0,0,10,20,,,,2.2,2.9,2.7,,,,2.3,3.1,2.8,2.25,3.0,2.8,DE,2001/2002
D2,2001-05-08,Hannover,Aachen,3,0,H,3,0,H,15872,Christian Schüssling ,18.0,0.0,7.0,0.0,2.0,0.0,9.0,2.0,15.0,18.0,2.0,1.0,2,2,0,2,20,70,,,,1.75,3.1,3.6,,,,1.91,3.25,3.5,1.75,3.15,4.0,DE,2001/2002
D2,2001-05-08,Mainz,Unterhaching,2,0,H,2,0,H,6500,Peter Gagelmann ,13.0,6.0,6.0,1.0,0.0,0.0,3.0,4.0,18.0,10.0,3.0,0.0,2,2,0,0,20,20,,,,2.0,2.9,3.0,,,,2.5,3.0,2.6,2.35,3.0,2.65,DE,2001/2002
D2,2001-06-08,Mannheim,Ein Frankfurt,0,0,D,0,0,D,18000,Edgar Steinborn,13.0,9.0,5.0,2.0,0.0,0.0,3.0,0.0,16.0,23.0,1.0,2.0,1,4,0,0,10,40,,,,2.2,2.9,2.7,,,,,,,2.25,3.0,2.8,DE,2001/2002
D2,2001-10-08,Bielefeld,Mannheim,5,0,H,3,0,H,12097,Thomas Frank ,26.0,12.0,18.0,5.0,1.0,0.0,8.0,6.0,17.0,22.0,1.0,1.0,2,1,0,0,20,10,,,,2.1,2.9,2.9,,,,,,,2.35,3.0,2.65,DE,2001/2002
D2,2001-10-08,Bochum,Mainz,2,1,H,2,1,H,12000,Peter Lange ,15.0,12.0,8.0,6.0,2.0,0.0,5.0,7.0,6.0,11.0,2.0,0.0,1,2,0,0,10,20,,,,1.6,3.2,4.2,,,,1.5,3.5,6.0,1.6,3.3,4.7,DE,2001/2002
D2,2001-10-08,Duisburg,Reutlingen,3,3,D,1,1,D,6100,Felix Brych ,13.0,15.0,6.0,8.0,0.0,0.0,4.0,6.0,17.0,20.0,1.0,3.0,0,3,1,0,25,30,,,,1.9,2.9,3.2,,,,1.91,3.2,3.6,1.85,3.15,3.55,DE,2001/2002
D2,2001-11-08,Aachen,Oberhausen,2,1,H,1,1,D,9200,Udo Stark ,7.0,5.0,3.0,2.0,0.0,0.0,2.0,2.0,12.0,14.0,1.0,1.0,0,3,0,0,0,30,,,,2.1,2.9,2.9,,,,2.0,3.1,3.4,2.25,2.9,2.85,DE,2001/2002
D2,2001-11-08,Union Berlin,Ahlen,5,0,H,1,0,H,8706,Stephan Kammerer ,7.0,4.0,5.0,1.0,0.0,0.0,9.0,3.0,16.0,14.0,0.0,0.0,0,2,0,0,0,20,,,,2.2,2.9,2.7,,,,2.1,3.1,3.2,2.05,3.15,3.0,DE,2001/2002
D2,2001-12-08,Ein Frankfurt,Schweinfurt,2,0,H,0,0,D,18500,Andre Stachowiak ,14.0,8.0,6.0,5.0,0.0,1.0,2.0,5.0,18.0,18.0,0.0,4.0,1,1,0,0,10,10,,,,,,,,,,,,,,,,DE,2001/2002
D2,2001-12-08,Greuther Furth,Babelsberg,1,0,H,1,0,H,6300,,15.0,12.0,5.0,7.0,1.0,0.0,4.0,4.0,11.0,12.0,0.0,0.0,0,1,0,0,0,10,,,,1.7,3.1,3.8,,,,1.62,3.4,5.0,1.65,3.3,4.35,DE,2001/2002
D2,2001-12-08,Unterhaching,Hannover,1,1,D,0,0,D,4000,Dirk Margenberg ,11.0,17.0,6.0,9.0,0.0,0.0,0.0,7.0,16.0,13.0,1.0,1.0,1,1,0,0,10,10,,,,1.9,2.9,3.2,,,,1.8,3.2,4.0,2.0,3.1,3.15,DE,2001/2002
D2,2001-08-13,Karlsruhe,Saarbrucken,2,0,H,1,0,H,15000,Stefan Trautmann ,11.0,12.0,4.0,5.0,0.0,1.0,3.0,5.0,20.0,25.0,5.0,2.0,1,3,0,0,10,30,,,,2.0,2.9,3.0,,,,2.0,3.1,3.4,1.85,3.2,3.5,DE,2001/2002
D2,2001-08-17,Oberhausen,Unterhaching,0,2,A,0,0,D,3311,Babak Rafati,9.0,10.0,2.0,4.0,1.0,0.0,6.0,7.0,17.0,21.0,2.0,0.0,2,2,0,0,20,20,,,,2.0,2.9,3.0,,,,2.3,3.1,2.7,2.2,3.1,2.75,DE,2001/2002
D2,2001-08-17,Reutlingen,Greuther Furth,0,1,A,0,1,A,7000,Mike Pickel,12.0,5.0,8.0,3.0,0.0,0.0,6.0,2.0,9.0,10.0,0.0,0.0,5,1,0,1,50,35,,,,2.1,2.9,2.9,,,,2.0,3.2,3.2,2.1,3.15,2.9,DE,2001/2002
D2,2001-08-17,Schweinfurt,Bielefeld,1,0,H,0,0,D,11153,Manuel Gräfe ,11.0,12.0,6.0,7.0,1.0,0.0,7.0,11.0,13.0,13.0,4.0,4.0,2,2,0,0,20,20,,,,2.7,2.9,2.2,,,,2.3,3.2,2.62,2.4,3.1,2.5,DE,2001/2002
