Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,Season
D2,1995-04-08,Bielefeld,Lubeck,2.0,1.0,H,DE,1995/1996
D2,1995-04-08,Chemnitz,Leipzig,1.0,2.0,A,DE,1995/1996
D2,1995-04-08,CZ Jena,Zwickau,2.0,0.0,H,DE,1995/1996
D2,1995-04-08,Duisburg,Bochum,0.0,0.0,D,DE,1995/1996
D2,1995-05-08,Mainz,Hannover,0.0,2.0,A,DE,1995/1996
D2,1995-05-08,Mannheim,F Koln,2.0,0.0,H,DE,1995/1996
D2,1995-05-08,Unterhaching,Meppen,1.0,1.0,D,DE,1995/1996
D2,1995-05-08,Wattenscheid,Nurnberg,1.0,2.0,A,DE,1995/1996
D2,1995-05-08,Wolfsburg,Hertha,1.0,4.0,A,DE,1995/1996
D2,1995-08-08,Hannover,Duisburg,2.0,2.0,D,DE,1995/1996
D2,1995-08-08,Hertha,Unterhaching,1.0,0.0,H,DE,1995/1996
D2,1995-08-08,Lubeck,Mainz,3.0,0.0,H,DE,1995/1996
D2,1995-08-08,Meppen,CZ Jena,1.0,1.0,D,DE,1995/1996
D2,1995-09-08,Bochum,Mannheim,3.0,1.0,H,DE,1995/1996
D2,1995-09-08,F Koln,Wattenscheid,2.0,0.0,H,DE,1995/1996
D2,1995-09-08,Leipzig,Bielefeld,0.0,0.0,D,DE,1995/1996
D2,1995-09-08,Nurnberg,Wolfsburg,0.0,0.0,D,DE,1995/1996
D2,1995-09-08,Zwickau,Chemnitz,1.0,0.0,H,DE,1995/1996
D2,1995-11-08,CZ Jena,Hertha,0.0,3.0,A,DE,1995/1996
D2,1995-11-08,Duisburg,Lubeck,2.0,1.0,H,DE,1995/1996
D2,1995-12-08,Bielefeld,Zwickau,4.0,0.0,H,DE,1995/1996
D2,1995-12-08,Chemnitz,Meppen,2.0,0.0,H,DE,1995/1996
D2,1995-08-13,Mainz,Leipzig,0.0,1.0,A,DE,1995/1996
D2,1995-08-13,Mannheim,Wattenscheid,5.0,2.0,H,DE,1995/1996
D2,1995-08-13,Unterhaching,Nurnberg,0.0,0.0,D,DE,1995/1996
D2,1995-08-13,Wolfsburg,F Koln,1.0,3.0,A,DE,1995/1996
D2,1995-08-14,Bochum,Hannover,1.0,0.0,H,DE,1995/1996
D2,1995-08-18,Hannover,Mannheim,1.0,0.0,H,DE,1995/1996
D2,1995-08-18,Leipzig,Duisburg,2.0,2.0,D,DE,1995/1996
D2,1995-08-19,F Koln,Unterhaching,0.0,2.0,A,DE,1995/1996
D2,1995-08-19,Zwickau,Mainz,3.0,0.0,H,DE,1995/1996
D2,1995-08-20,Lubeck,Bochum,3.0,0.0,H,DE,1995/1996
D2,1995-08-20,Meppen,Bielefeld,2.0,2.0,D,DE,1995/1996
D2,1995-08-20,Wattenscheid,Wolfsburg,1.0,2.0,A,DE,1995/1996
D2,1995-08-21,Nurnberg,CZ Jena,0.0,2.0,A,DE,1995/1996
D2,1995-08-29,Bielefeld,Hertha,1.0,0.0,H,DE,1995/1996
D2,1995-08-29,Bochum,Leipzig,3.0,0.0,H,DE,1995/1996
D2,1995-08-29,Chemnitz,Nurnberg,1.0,1.0,D,DE,1995/1996
D2,1995-08-29,CZ Jena,F Koln,1.0,0.0,H,DE,1995/1996
D2,1995-08-29,Duisburg,Zwickau,3.0,0.0,H,DE,1995/1996
D2,1995-08-29,Unterhaching,Wattenscheid,1.0,0.0,H,DE,1995/1996
D2,1995-08-30,Hannover,Lubeck,0.0,0.0,D,DE,1995/1996
