Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
D2,1996-02-08,F Koln,Wolfsburg,2.0,0.0,H,1.0,0.0,H,DE,1996/1997
D2,1996-03-08,Essen,Stuttgarter K,0.0,4.0,A,0.0,4.0,A,DE,1996/1997
D2,1996-03-08,Hertha,Mainz,1.0,0.0,H,0.0,0.0,D,DE,1996/1997
D2,1996-03-08,Leipzig,Uerdingen,3.0,1.0,H,2.0,0.0,H,DE,1996/1997
D2,1996-03-08,Zwickau,Mannheim,2.0,0.0,H,1.0,0.0,H,DE,1996/1997
D2,1996-04-08,Gutersloh,CZ Jena,0.0,0.0,D,0.0,0.0,D,DE,1996/1997
D2,1996-04-08,Lubeck,Ein Frankfurt,1.0,1.0,D,0.0,0.0,D,DE,1996/1997
D2,1996-04-08,Oldenburg,Meppen,1.0,1.0,D,1.0,0.0,H,DE,1996/1997
D2,1996-06-08,Mainz,Leipzig,2.0,1.0,H,0.0,0.0,D,DE,1996/1997
D2,1996-07-08,CZ Jena,Essen,4.0,0.0,H,1.0,0.0,H,DE,1996/1997
D2,1996-07-08,Ein Frankfurt,Zwickau,2.0,1.0,H,1.0,1.0,D,DE,1996/1997
D2,1996-07-08,Mannheim,F Koln,3.0,3.0,D,2.0,1.0,H,DE,1996/1997
D2,1996-07-08,Meppen,Lubeck,2.0,0.0,H,0.0,0.0,D,DE,1996/1997
D2,1996-07-08,Stuttgarter K,Kaiserslautern,0.0,2.0,A,0.0,1.0,A,DE,1996/1997
D2,1996-07-08,Uerdingen,Gutersloh,0.0,2.0,A,0.0,1.0,A,DE,1996/1997
D2,1996-07-08,Unterhaching,Oldenburg,1.0,1.0,D,1.0,1.0,D,DE,1996/1997
D2,1996-07-08,Wolfsburg,Hertha,1.0,1.0,D,0.0,1.0,A,DE,1996/1997
D2,1996-08-16,F Koln,Hertha,2.0,0.0,H,0.0,0.0,D,DE,1996/1997
D2,1996-08-17,Kaiserslautern,CZ Jena,2.0,0.0,H,2.0,0.0,H,DE,1996/1997
D2,1996-08-17,Zwickau,Meppen,1.0,1.0,D,1.0,1.0,D,DE,1996/1997
D2,1996-08-18,Essen,Uerdingen,1.0,2.0,A,0.0,0.0,D,DE,1996/1997
D2,1996-08-18,Gutersloh,Mainz,0.0,0.0,D,0.0,0.0,D,DE,1996/1997
D2,1996-08-18,Leipzig,Wolfsburg,0.0,2.0,A,0.0,1.0,A,DE,1996/1997
D2,1996-08-18,Lubeck,Unterhaching,0.0,0.0,D,0.0,0.0,D,DE,1996/1997
D2,1996-08-18,Oldenburg,Stuttgarter K,1.0,1.0,D,1.0,0.0,H,DE,1996/1997
D2,1996-08-19,Mannheim,Ein Frankfurt,1.0,2.0,A,1.0,1.0,D,DE,1996/1997
D2,1996-08-23,Mainz,Essen,2.0,1.0,H,1.0,1.0,D,DE,1996/1997
D2,1996-08-23,Unterhaching,Zwickau,2.0,1.0,H,2.0,1.0,H,DE,1996/1997
D2,1996-08-24,Wolfsburg,Gutersloh,3.0,0.0,H,1.0,0.0,H,DE,1996/1997
D2,1996-08-25,CZ Jena,Oldenburg,3.0,1.0,H,2.0,1.0,H,DE,1996/1997
D2,1996-08-25,Ein Frankfurt,F Koln,3.0,1.0,H,0.0,0.0,D,DE,1996/1997
D2,1996-08-25,Meppen,Mannheim,1.0,1.0,D,1.0,0.0,H,DE,1996/1997
D2,1996-08-25,Stuttgarter K,Lubeck,2.0,3.0,A,1.0,1.0,D,DE,1996/1997
D2,1996-08-25,Uerdingen,Kaiserslautern,0.0,1.0,A,0.0,0.0,D,DE,1996/1997
D2,1996-08-26,Hertha,Leipzig,1.0,1.0,D,0.0,1.0,A,DE,1996/1997
D2,1996-06-09,Essen,Wolfsburg,0.0,1.0,A,0.0,1.0,A,DE,1996/1997
D2,1996-06-09,Kaiserslautern,Mainz,1.0,1.0,D,0.0,0.0,D,DE,1996/1997
D2,1996-07-09,F Koln,Leipzig,2.0,3.0,A,0.0,0.0,D,DE,1996/1997
D2,1996-07-09,Mannheim,Unterhaching,1.0,1.0,D,0.0,0.0,D,DE,1996/1997
