Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
E1,1996-08-17,Arsenal,West Ham,2.0,0.0,H,2.0,0.0,H,EN,1996/1997
E1,1996-08-17,Blackburn,Tottenham,0.0,2.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-08-17,Coventry,Nott'm Forest,0.0,3.0,A,0.0,2.0,A,EN,1996/1997
E1,1996-08-17,Derby,Leeds,3.0,3.0,D,0.0,1.0,A,EN,1996/1997
E1,1996-08-17,Everton,Newcastle,2.0,0.0,H,2.0,0.0,H,EN,1996/1997
E1,1996-08-17,Middlesbrough,Liverpool,3.0,3.0,D,2.0,2.0,D,EN,1996/1997
E1,1996-08-17,Sheffield Weds,Aston Villa,2.0,1.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-08-17,Sunderland,Leicester,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-08-17,Wimbledon,Man United,0.0,3.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-08-18,Southampton,Chelsea,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-08-19,Liverpool,Arsenal,2.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-08-20,Leeds,Sheffield Weds,0.0,2.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-08-21,Aston Villa,Blackburn,1.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-08-21,Chelsea,Middlesbrough,1.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-08-21,Leicester,Southampton,2.0,1.0,H,2.0,0.0,H,EN,1996/1997
E1,1996-08-21,Man United,Everton,2.0,2.0,D,0.0,2.0,A,EN,1996/1997
E1,1996-08-21,Newcastle,Wimbledon,2.0,0.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-08-21,Nott'm Forest,Sunderland,1.0,4.0,A,1.0,4.0,A,EN,1996/1997
E1,1996-08-21,Tottenham,Derby,1.0,1.0,D,1.0,0.0,H,EN,1996/1997
E1,1996-08-21,West Ham,Coventry,1.0,1.0,D,0.0,1.0,A,EN,1996/1997
E1,1996-08-24,Aston Villa,Derby,2.0,0.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-08-24,Chelsea,Coventry,2.0,0.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-08-24,Leicester,Arsenal,0.0,2.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-08-24,Liverpool,Sunderland,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-08-24,Newcastle,Sheffield Weds,1.0,2.0,A,1.0,1.0,D,EN,1996/1997
E1,1996-08-24,Nott'm Forest,Middlesbrough,1.0,1.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-08-24,Tottenham,Everton,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-08-24,West Ham,Southampton,2.0,1.0,H,0.0,1.0,A,EN,1996/1997
E1,1996-08-25,Man United,Blackburn,2.0,2.0,D,1.0,1.0,D,EN,1996/1997
E1,1996-08-26,Leeds,Wimbledon,1.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-02-09,Sheffield Weds,Leicester,2.0,1.0,H,1.0,1.0,D,EN,1996/1997
E1,1996-04-09,Arsenal,Chelsea,3.0,3.0,D,1.0,2.0,A,EN,1996/1997
E1,1996-04-09,Blackburn,Leeds,0.0,1.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-04-09,Coventry,Liverpool,0.0,1.0,A,0.0,0.0,D,EN,1996/1997
E1,1996-04-09,Derby,Man United,1.0,1.0,D,1.0,1.0,D,EN,1996/1997
E1,1996-04-09,Everton,Aston Villa,0.0,1.0,A,0.0,0.0,D,EN,1996/1997
E1,1996-04-09,Middlesbrough,West Ham,4.0,1.0,H,2.0,0.0,H,EN,1996/1997
E1,1996-04-09,Southampton,Nott'm Forest,2.0,2.0,D,0.0,2.0,A,EN,1996/1997
E1,1996-04-09,Sunderland,Newcastle,1.0,2.0,A,1.0,0.0,H,EN,1996/1997
E1,1996-04-09,Wimbledon,Tottenham,1.0,0.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-07-09,Aston Villa,Arsenal,2.0,2.0,D,1.0,0.0,H,EN,1996/1997
E1,1996-07-09,Leeds,Man United,0.0,4.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-07-09,Liverpool,Southampton,2.0,1.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-07-09,Middlesbrough,Coventry,4.0,0.0,H,2.0,0.0,H,EN,1996/1997
E1,1996-07-09,Nott'm Forest,Leicester,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-07-09,Sheffield Weds,Chelsea,0.0,2.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-07-09,Tottenham,Newcastle,1.0,2.0,A,1.0,1.0,D,EN,1996/1997
E1,1996-07-09,Wimbledon,Everton,4.0,0.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-08-09,Sunderland,West Ham,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-09-09,Blackburn,Derby,1.0,2.0,A,1.0,1.0,D,EN,1996/1997
E1,1996-09-14,Coventry,Leeds,2.0,1.0,H,0.0,1.0,A,EN,1996/1997
E1,1996-09-14,Derby,Sunderland,1.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-09-14,Everton,Middlesbrough,1.0,2.0,A,1.0,0.0,H,EN,1996/1997
E1,1996-09-14,Man United,Nott'm Forest,4.0,1.0,H,2.0,1.0,H,EN,1996/1997
E1,1996-09-14,Newcastle,Blackburn,2.0,1.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-09-14,Southampton,Tottenham,0.0,1.0,A,0.0,0.0,D,EN,1996/1997
E1,1996-09-14,West Ham,Wimbledon,0.0,2.0,A,0.0,0.0,D,EN,1996/1997
E1,1996-09-15,Chelsea,Aston Villa,1.0,1.0,D,1.0,1.0,D,EN,1996/1997
E1,1996-09-15,Leicester,Liverpool,0.0,3.0,A,0.0,0.0,D,EN,1996/1997
E1,1996-09-16,Arsenal,Sheffield Weds,4.0,1.0,H,0.0,1.0,A,EN,1996/1997
E1,1996-09-21,Aston Villa,Man United,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-09-21,Blackburn,Everton,1.0,1.0,D,1.0,1.0,D,EN,1996/1997
E1,1996-09-21,Leeds,Newcastle,0.0,1.0,A,0.0,0.0,D,EN,1996/1997
E1,1996-09-21,Liverpool,Chelsea,5.0,1.0,H,3.0,0.0,H,EN,1996/1997
E1,1996-09-21,Middlesbrough,Arsenal,0.0,2.0,A,0.0,2.0,A,EN,1996/1997
E1,1996-09-21,Nott'm Forest,West Ham,0.0,2.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-09-21,Sheffield Weds,Derby,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-09-21,Sunderland,Coventry,1.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-09-22,Tottenham,Leicester,1.0,2.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-09-23,Wimbledon,Southampton,3.0,1.0,H,2.0,0.0,H,EN,1996/1997
E1,1996-09-28,Arsenal,Sunderland,2.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-09-28,Chelsea,Nott'm Forest,1.0,1.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-09-28,Coventry,Blackburn,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-09-28,Derby,Wimbledon,0.0,2.0,A,0.0,0.0,D,EN,1996/1997
E1,1996-09-28,Everton,Sheffield Weds,2.0,0.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-09-28,Leicester,Leeds,1.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-09-28,Southampton,Middlesbrough,4.0,0.0,H,2.0,0.0,H,EN,1996/1997
E1,1996-09-29,Man United,Tottenham,2.0,0.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-09-29,West Ham,Liverpool,1.0,2.0,A,1.0,1.0,D,EN,1996/1997
E1,1996-09-30,Newcastle,Aston Villa,4.0,3.0,H,3.0,1.0,H,EN,1996/1997
E1,1996-12-10,Blackburn,Arsenal,0.0,2.0,A,0.0,1.0,A,EN,1996/1997
E1,1996-12-10,Derby,Newcastle,0.0,1.0,A,0.0,0.0,D,EN,1996/1997
E1,1996-12-10,Everton,West Ham,2.0,1.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-12-10,Leeds,Nott'm Forest,2.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-12-10,Leicester,Chelsea,1.0,3.0,A,1.0,0.0,H,EN,1996/1997
E1,1996-12-10,Man United,Liverpool,1.0,0.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-12-10,Tottenham,Aston Villa,1.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-12-10,Wimbledon,Sheffield Weds,4.0,2.0,H,2.0,1.0,H,EN,1996/1997
E1,1996-10-13,Coventry,Southampton,1.0,1.0,D,0.0,1.0,A,EN,1996/1997
E1,1996-10-14,Sunderland,Middlesbrough,2.0,2.0,D,1.0,1.0,D,EN,1996/1997
E1,1996-10-19,Arsenal,Coventry,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
E1,1996-10-19,Aston Villa,Leeds,2.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-10-19,Chelsea,Wimbledon,2.0,4.0,A,1.0,2.0,A,EN,1996/1997
E1,1996-10-19,Middlesbrough,Tottenham,0.0,3.0,A,0.0,2.0,A,EN,1996/1997
E1,1996-10-19,Nott'm Forest,Derby,1.0,1.0,D,1.0,0.0,H,EN,1996/1997
E1,1996-10-19,Sheffield Weds,Blackburn,1.0,1.0,D,1.0,0.0,H,EN,1996/1997
E1,1996-10-19,Southampton,Sunderland,3.0,0.0,H,1.0,0.0,H,EN,1996/1997
E1,1996-10-19,West Ham,Leicester,1.0,0.0,H,0.0,0.0,D,EN,1996/1997
E1,1996-10-20,Newcastle,Man United,5.0,0.0,H,2.0,0.0,H,EN,1996/1997
E1,1996-10-26,Arsenal,Leeds,3.0,0.0,H,2.0,0.0,H,EN,1996/1997
E1,1996-10-26,Chelsea,Tottenham,3.0,1.0,H,1.0,1.0,D,EN,1996/1997
E1,1996-10-26,Coventry,Sheffield Weds,0.0,0.0,D,0.0,0.0,D,EN,1996/1997
