Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,Season
E3,1993-08-14,Barnet,Hull,1,2,A,EN,1993/1994
E3,1993-08-14,Bradford,Brighton,2,0,H,EN,1993/1994
E3,1993-08-14,Brentford,Exeter,2,1,H,EN,1993/1994
E3,1993-08-14,Bristol Rvs,Bournemouth,0,1,A,EN,1993/1994
E3,1993-08-14,Burnley,Port Vale,2,1,H,EN,1993/1994
E3,1993-08-14,Cambridge,Blackpool,3,2,H,EN,1993/1994
E3,1993-08-14,Cardiff,Leyton Orient,2,0,H,EN,1993/1994
E3,1993-08-14,Hartlepool,Fulham,0,1,A,EN,1993/1994
E3,1993-08-14,Huddersfield,Reading,0,3,A,EN,1993/1994
E3,1993-08-14,Plymouth,Stockport,2,3,A,EN,1993/1994
E3,1993-08-14,Wrexham,Rotherham,3,3,D,EN,1993/1994
E3,1993-08-14,York,Swansea,2,1,H,EN,1993/1994
E3,1993-08-21,Blackpool,Brentford,1,1,D,EN,1993/1994
E3,1993-08-21,Bournemouth,Bradford,1,1,D,EN,1993/1994
E3,1993-08-21,Brighton,Hartlepool,1,1,D,EN,1993/1994
E3,1993-08-21,Exeter,York,1,2,A,EN,1993/1994
E3,1993-08-21,Fulham,Cardiff,1,3,A,EN,1993/1994
E3,1993-08-21,Hull,Plymouth,2,2,D,EN,1993/1994
E3,1993-08-21,Leyton Orient,Bristol Rvs,1,0,H,EN,1993/1994
E3,1993-08-21,Port Vale,Barnet,6,0,H,EN,1993/1994
E3,1993-08-21,Reading,Burnley,2,1,H,EN,1993/1994
E3,1993-08-21,Rotherham,Huddersfield,2,3,A,EN,1993/1994
E3,1993-08-21,Stockport,Cambridge,3,1,H,EN,1993/1994
E3,1993-08-21,Swansea,Wrexham,3,1,H,EN,1993/1994
E3,1993-08-28,Barnet,Swansea,0,1,A,EN,1993/1994
E3,1993-08-28,Bradford,Exeter,6,0,H,EN,1993/1994
E3,1993-08-28,Brentford,Reading,1,0,H,EN,1993/1994
E3,1993-08-28,Bristol Rvs,Fulham,2,1,H,EN,1993/1994
E3,1993-08-28,Burnley,Leyton Orient,4,1,H,EN,1993/1994
E3,1993-08-28,Cambridge,Hull,3,4,A,EN,1993/1994
E3,1993-08-28,Cardiff,Brighton,2,2,D,EN,1993/1994
E3,1993-08-28,Hartlepool,Bournemouth,1,1,D,EN,1993/1994
E3,1993-08-28,Huddersfield,Stockport,1,1,D,EN,1993/1994
E3,1993-08-28,Plymouth,Port Vale,2,0,H,EN,1993/1994
E3,1993-08-28,Wrexham,Blackpool,2,3,A,EN,1993/1994
E3,1993-08-28,York,Rotherham,0,0,D,EN,1993/1994
E3,1993-08-31,Blackpool,Plymouth,2,1,H,EN,1993/1994
E3,1993-08-31,Bournemouth,York,3,1,H,EN,1993/1994
E3,1993-08-31,Exeter,Cardiff,2,2,D,EN,1993/1994
E3,1993-08-31,Fulham,Wrexham,0,0,D,EN,1993/1994
E3,1993-08-31,Hull,Brentford,1,0,H,EN,1993/1994
E3,1993-08-31,Leyton Orient,Hartlepool,1,2,A,EN,1993/1994
E3,1993-08-31,Port Vale,Cambridge,2,2,D,EN,1993/1994
E3,1993-08-31,Rotherham,Burnley,3,2,H,EN,1993/1994
E3,1993-08-31,Stockport,Bradford,4,1,H,EN,1993/1994
E3,1993-08-31,Swansea,Huddersfield,1,0,H,EN,1993/1994
E3,1993-01-09,Brighton,Bristol Rvs,0,2,A,EN,1993/1994
