Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Country,Season
E4,2002-10-08,Boston,Bournemouth,2,2,D,0,1,A,A Kaye,5.0,8.0,2.0,5.0,14.0,12.0,3.0,5.0,3.0,2.0,0.0,0.0,2.4,3.2,2.6,,,,2.3,3.0,2.4,2.6,3.2,2.375,,,,2.375,3.2,2.625,2.37,3.1,2.62,EN,2002/2003
E4,2002-10-08,Cambridge,Darlington,1,2,A,1,1,D,J P Robinson,6.0,16.0,5.0,7.0,18.0,25.0,12.0,11.0,5.0,3.0,0.0,0.0,1.909,3.25,3.5,2.05,3.2,3.3,1.9,3.1,3.0,1.727,3.4,4.0,,,,1.909,3.25,3.5,2.0,3.2,3.2,EN,2002/2003
E4,2002-10-08,Carlisle,Hartlepool,1,3,A,0,1,A,G Cain,6.0,12.0,3.0,4.0,9.0,9.0,5.0,6.0,0.0,3.0,0.0,0.0,2.375,3.2,2.625,2.53,3.15,2.5,2.4,3.0,2.3,2.4,3.25,2.5,,,,2.6,3.2,2.4,2.5,3.1,2.5,EN,2002/2003
E4,2002-10-08,Hull,Southend,2,2,D,1,0,H,E Evans,14.0,14.0,6.0,7.0,21.0,12.0,3.0,4.0,4.0,5.0,1.0,0.0,1.533,3.5,5.5,1.55,3.5,5.6,1.55,3.3,4.5,1.615,3.25,5.0,,,,1.571,3.4,5.5,1.53,3.4,5.5,EN,2002/2003
E4,2002-10-08,Kidderminster,Lincoln,1,1,D,0,1,A,P Crossley,13.0,7.0,10.0,6.0,13.0,15.0,6.0,8.0,2.0,5.0,0.0,1.0,1.571,3.4,5.5,1.63,3.3,5.25,1.6,3.1,4.4,1.667,3.25,4.5,,,,1.667,3.4,4.5,1.61,3.25,5.0,EN,2002/2003
E4,2002-10-08,Macclesfield,York,1,1,D,1,0,H,P Joslin,9.0,6.0,5.0,3.0,16.0,12.0,9.0,8.0,2.0,3.0,0.0,0.0,2.1,3.25,3.0,2.28,3.3,2.7,2.2,3.0,2.6,2.2,3.25,2.75,,,,2.2,3.25,2.8,2.25,3.25,2.7,EN,2002/2003
E4,2002-10-08,Oxford,Bury,2,1,H,2,0,H,M Messias,4.0,12.0,4.0,8.0,13.0,14.0,4.0,8.0,3.0,3.0,0.0,0.0,1.909,3.25,3.5,1.94,3.45,3.3,1.9,3.1,3.0,2.1,3.2,3.0,,,,1.909,3.25,3.5,1.9,3.4,3.25,EN,2002/2003
E4,2002-10-08,Rochdale,Leyton Orient,1,0,H,0,0,D,E Ilderton,10.0,11.0,6.0,5.0,10.0,18.0,5.0,7.0,1.0,1.0,0.0,0.0,1.727,3.5,4.0,1.73,3.4,4.25,1.7,3.2,3.7,1.727,3.4,4.0,,,,1.8,3.25,4.0,1.72,3.4,4.0,EN,2002/2003
E4,2002-10-08,Scunthorpe,Wrexham,1,1,D,1,0,H,M Thorpe,11.0,12.0,6.0,6.0,19.0,13.0,5.0,7.0,1.0,1.0,0.0,0.0,2.1,3.25,3.0,2.25,3.25,2.8,2.2,3.0,2.6,2.25,3.2,2.75,,,,2.1,3.25,3.0,2.25,3.25,2.7,EN,2002/2003
E4,2002-10-08,Shrewsbury,Exeter,1,0,H,1,0,H,L Mason,,,,,,,,,,,,,1.667,3.5,4.333,1.73,3.35,4.3,1.7,3.2,3.7,1.727,3.4,4.0,,,,1.75,3.25,4.0,1.72,3.25,4.2,EN,2002/2003
E4,2002-10-08,Swansea,Rushden & D,2,2,D,1,1,D,A Penn,8.0,10.0,2.0,3.0,20.0,11.0,4.0,11.0,2.0,2.0,1.0,1.0,2.625,3.2,2.375,2.65,3.2,2.4,2.4,3.0,2.3,2.4,3.25,2.5,,,,2.6,3.2,2.4,2.62,3.1,2.37,EN,2002/2003
E4,2002-10-08,Torquay,Bristol Rvs,2,1,H,1,1,D,P Prosser,20.0,9.0,12.0,6.0,18.0,15.0,3.0,7.0,2.0,3.0,0.0,0.0,2.625,3.2,2.375,2.65,3.2,2.4,2.4,3.0,2.3,2.4,3.25,2.5,2.63,3.2,2.38,2.625,3.2,2.375,2.62,3.1,2.37,EN,2002/2003
E4,2002-08-13,Bournemouth,Kidderminster,0,0,D,0,0,D,S Tomlin,15.0,4.0,10.0,2.0,14.0,14.0,2.0,3.0,0.0,1.0,0.0,0.0,1.8,3.4,3.75,1.8,3.4,3.75,1.75,3.2,3.5,1.727,3.2,4.333,1.8,3.2,4.0,1.8,3.25,4.0,1.83,3.4,3.5,EN,2002/2003
E4,2002-08-13,Bristol Rvs,Hull,1,1,D,1,0,H,A D'Urso,12.0,13.0,6.0,7.0,13.0,11.0,1.0,2.0,0.0,3.0,0.0,1.0,2.375,3.2,2.625,2.4,3.25,2.55,2.3,3.0,2.4,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.2,2.6,2.4,3.25,2.5,EN,2002/2003
E4,2002-08-13,Bury,Cambridge,0,1,A,0,0,D,E Ilderton,13.0,7.0,5.0,3.0,13.0,10.0,9.0,8.0,3.0,1.0,0.0,0.0,2.0,3.25,3.25,2.0,3.3,3.18,1.9,3.1,3.0,1.909,3.25,3.4,2.0,3.25,3.25,1.909,3.25,3.5,2.1,3.2,3.0,EN,2002/2003
E4,2002-08-13,Darlington,Swansea,2,2,D,0,0,D,E Evans,8.0,6.0,4.0,3.0,13.0,15.0,6.0,3.0,2.0,1.0,0.0,0.0,1.8,3.25,4.0,1.85,3.25,3.7,1.85,3.1,3.2,1.909,3.25,3.4,1.83,3.25,3.75,1.85,3.25,3.75,1.9,3.25,3.4,EN,2002/2003
E4,2002-08-13,Exeter,Scunthorpe,1,1,D,0,0,D,C Penton,5.0,6.0,3.0,4.0,12.0,12.0,8.0,5.0,2.0,0.0,0.0,0.0,2.5,3.2,2.5,2.37,3.2,2.61,2.3,3.0,2.4,2.25,3.2,2.75,2.38,3.2,2.63,2.4,3.2,2.6,2.37,3.1,2.62,EN,2002/2003
