Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,Country,Season
SP2,2000-02-09,Albacete,Tenerife,1,0,H,1,0,H,,,,2.2,2.8,2.8,ES,2000/2001
SP2,2000-02-09,Getafe,Cordoba,0,0,D,0,0,D,,,,2.3,2.8,2.6,ES,2000/2001
SP2,2000-02-09,Lleida,Eibar,0,0,D,0,0,D,,,,1.7,2.8,4.2,ES,2000/2001
SP2,2000-03-09,Compostela,Betis,0,0,D,0,0,D,,,,2.6,2.8,2.3,ES,2000/2001
SP2,2000-03-09,Elche,Salamanca,2,0,H,1,0,H,,,,2.6,2.8,2.3,ES,2000/2001
SP2,2000-03-09,Jaen,Ferrol,1,0,H,0,0,D,,,,1.85,2.8,3.5,ES,2000/2001
SP2,2000-03-09,Leganes,Extremadura,1,1,D,1,0,H,,,,2.2,2.8,2.8,ES,2000/2001
SP2,2000-03-09,Levante,Ath Madrid,4,1,H,0,1,A,,,,2.8,2.8,2.2,ES,2000/2001
SP2,2000-03-09,Recreativo,Badajoz,0,0,D,0,0,D,,,,2.2,2.7,2.9,ES,2000/2001
SP2,2000-03-09,Sevilla,Murcia,2,1,H,0,0,D,,,,1.4,3.4,5.6,ES,2000/2001
SP2,2000-03-09,Sp Gijon,U.Las Palmas,0,0,D,0,0,D,,,,1.6,3.0,4.5,ES,2000/2001
SP2,2000-09-09,Ath Madrid,Recreativo,0,1,A,0,1,A,,,,1.5,3.3,4.8,ES,2000/2001
SP2,2000-09-09,U.Las Palmas,Getafe,0,1,A,0,0,D,,,,2.1,2.7,3.1,ES,2000/2001
SP2,2000-10-09,Badajoz,Jaen,0,1,A,0,0,D,,,,1.8,2.7,3.8,ES,2000/2001
SP2,2000-10-09,Betis,Elche,1,2,A,0,2,A,,,,1.45,3.3,5.2,ES,2000/2001
SP2,2000-10-09,Cordoba,Levante,1,1,D,1,1,D,,,,2.1,2.7,3.1,ES,2000/2001
