Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,Country,Season
SP2,2001-08-25,Ath Madrid,Jaen,2,0,H,0,0,D,,,,1.3,4.0,7.0,1.44,3.5,7.0,1.4,3.6,7.0,ES,2001/2002
SP2,2001-08-25,Poli Ejido,Burgos,0,1,A,0,0,D,,,,2.0,2.9,3.0,,,,2.1,3.3,2.8,ES,2001/2002
SP2,2001-08-25,Elche,Ferrol,0,0,D,0,0,D,,,,2.1,2.8,3.0,2.2,3.0,3.0,2.2,2.75,3.15,ES,2001/2002
SP2,2001-08-25,Gimnastic,Santander,0,0,D,0,0,D,,,,2.7,2.9,2.2,,,,,,,ES,2001/2002
SP2,2001-08-26,Albacete,Levante,3,0,H,0,0,D,,,,1.65,2.8,4.4,1.8,3.1,4.0,2.0,2.8,3.6,ES,2001/2002
SP2,2001-08-26,Badajoz,Recreativo,1,0,H,0,0,D,,,,2.3,2.6,2.8,2.2,2.88,3.1,2.5,2.7,2.75,ES,2001/2002
SP2,2001-08-26,Cordoba,Leganes,1,1,D,0,1,A,,,,1.75,2.9,3.8,1.8,3.1,4.0,1.9,3.0,3.6,ES,2001/2002
SP2,2001-08-26,Murcia,Eibar,0,0,D,0,0,D,,,,1.8,2.8,3.7,1.91,3.0,3.75,2.0,2.85,3.5,ES,2001/2002
SP2,2001-08-26,Numancia,Salamanca,2,2,D,2,0,H,,,,1.7,2.9,4.0,1.73,3.2,4.33,1.7,3.1,4.5,ES,2001/2002
SP2,2001-08-26,Oviedo,Extremadura,1,1,D,0,0,D,,,,1.65,2.9,4.2,1.67,3.25,4.5,1.65,3.2,4.6,ES,2001/2002
SP2,2001-08-26,Xerez,Sp Gijon,1,0,H,0,0,D,,,,2.6,2.8,2.3,,,,2.55,2.85,2.55,ES,2001/2002
SP2,2001-01-09,Eibar,Ath Madrid,0,3,A,0,2,A,,,,3.0,2.8,2.1,3.25,2.9,2.1,,,,ES,2001/2002
SP2,2001-01-09,Ferrol,Murcia,2,0,H,1,0,H,,,,2.1,2.8,3.0,2.0,3.0,3.4,2.1,2.75,3.4,ES,2001/2002
SP2,2001-02-09,Burgos,Gimnastic,1,0,H,1,0,H,,,,1.8,2.9,3.6,1.91,3.1,3.6,1.8,2.9,4.2,ES,2001/2002
SP2,2001-02-09,Extremadura,Xerez,0,1,A,0,1,A,,,,1.6,3.0,4.4,1.62,3.25,5.0,1.75,2.95,4.5,ES,2001/2002
SP2,2001-02-09,Jaen,Poli Ejido,3,1,H,1,0,H,,,,1.6,3.0,4.4,,,,1.7,3.1,4.4,ES,2001/2002
SP2,2001-02-09,Leganes,Elche,0,0,D,0,0,D,,,,1.9,2.8,3.3,1.91,3.0,3.75,2.1,2.75,3.4,ES,2001/2002
SP2,2001-02-09,Levante,Cordoba,3,1,H,2,1,H,,,,1.9,2.8,3.3,1.91,3.0,3.75,2.0,2.85,3.5,ES,2001/2002
