Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Country,Season
SP2,2003-08-30,Almeria,Malaga B,3,2,H,3,1,H,,,,2.0,2.87,3.75,,,,2.0,2.75,3.8,2.1,2.7,3.5,,,,,,ES,2003/2004
SP2,2003-08-30,Cadiz,Poli Ejido,2,1,H,0,0,D,,,,2.2,2.75,3.35,,,,2.2,2.75,3.25,2.2,2.6,3.4,,,,,,ES,2003/2004
SP2,2003-08-31,Ciudad de Murcia,Recreativo,1,1,D,1,0,H,,,,,,,,,,2.75,2.75,2.5,2.85,2.7,2.4,,,,,,ES,2003/2004
SP2,2003-08-31,Eibar,Algeciras,2,1,H,0,0,D,,,,2.0,2.87,3.75,,,,1.95,2.87,3.75,2.05,2.75,3.5,,,,,,ES,2003/2004
SP2,2003-08-31,Leganes,Salamanca,0,0,D,0,0,D,,,,2.2,2.75,3.35,,,,2.3,2.75,3.1,2.0,2.7,3.75,,,,,,ES,2003/2004
SP2,2003-08-31,Numancia,Cordoba,1,0,H,0,0,D,,,,2.15,2.75,3.5,,,,2.1,2.8,3.4,2.1,2.65,3.55,,,,,,ES,2003/2004
SP2,2003-08-31,Sp Gijon,Getafe,0,2,A,0,0,D,,,,2.1,2.75,3.65,,,,2.1,2.75,3.5,2.0,2.7,3.75,,,,,,ES,2003/2004
SP2,2003-08-31,Tenerife,Alaves,1,0,H,1,0,H,,,,2.25,2.75,3.25,,,,2.3,2.8,3.0,2.2,2.65,3.25,,,,,,ES,2003/2004
SP2,2003-08-31,Terrassa,Xerez,1,1,D,0,0,D,,,,2.35,2.8,3.0,,,,2.37,2.7,3.0,2.45,2.75,2.75,,,,,,ES,2003/2004
SP2,2003-08-31,Vallecano,Levante,0,2,A,0,2,A,,,,2.0,2.87,3.75,,,,1.8,3.0,4.2,1.95,2.75,3.8,,,,,,ES,2003/2004
SP2,2003-09-06,Las Palmas,Leganes,2,2,D,2,0,H,,,,1.8,2.95,4.5,1.8,2.7,4.0,1.72,3.0,4.6,1.8,2.8,4.4,2.1,1.56,1.5,2.45,-0.25,ES,2003/2004
SP2,2003-09-06,Levante,Elche,1,1,D,0,0,D,,,,1.78,3.0,4.5,1.8,2.7,4.0,1.72,3.0,4.6,1.8,2.8,4.4,2.2,1.51,1.78,2.04,-0.5,ES,2003/2004
SP2,2003-09-06,Malaga B,Cadiz,1,3,A,1,1,D,,,,2.2,2.8,3.3,2.2,2.6,3.0,2.2,2.7,3.3,2.0,2.75,3.65,2.2,1.51,1.95,1.85,-0.25,ES,2003/2004
SP2,2003-09-06,Xerez,Vallecano,0,0,D,0,0,D,,,,2.4,2.75,3.0,2.3,2.6,2.8,2.3,2.8,3.0,,,,2.1,1.56,1.8,2.0,0.0,ES,2003/2004
SP2,2003-09-07,Alaves,Sp Gijon,2,1,H,1,1,D,,,,1.77,3.0,4.6,1.8,2.7,4.0,1.72,3.0,4.6,1.9,2.8,3.9,2.2,1.51,1.77,2.05,-0.5,ES,2003/2004
