Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Country,Season
SP2,2009-08-29,Betis,Cordoba,3,0,H,1,0,H,1.4,4.0,7.5,1.4,3.8,7.5,1.4,3.9,7.5,1.45,3.8,5.4,1.4,3.75,7.0,1.4,4.0,7.5,1.35,4.0,7.5,1.4,3.8,8.0,1.4,4.0,7.0,1.4,3.75,7.5,18,1.45,1.4,4.0,3.86,8.0,7.38,10,1.8,1.75,2.0,1.93,3,0,1.12,1.11,5.8,5.68,ES,2009/2010
SP2,2009-08-29,Celta,Numancia,1,2,A,0,0,D,2.25,3.2,2.9,2.25,3.1,2.9,2.3,3.1,2.9,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.1,2.9,2.15,2.9,3.2,2.3,3.2,2.88,2.3,3.1,2.9,2.38,3.1,2.7,19,2.38,2.27,3.2,3.07,3.2,2.93,12,2.05,1.98,1.75,1.72,4,0,1.65,1.62,2.29,2.12,ES,2009/2010
SP2,2009-08-29,Girona,Cartagena,0,1,A,0,1,A,1.8,3.25,4.2,1.75,3.25,4.3,1.75,3.25,4.5,1.8,3.2,3.7,1.85,3.2,3.75,1.8,3.2,4.33,1.9,3.1,3.6,1.73,3.25,4.75,1.75,3.3,4.33,1.8,3.25,4.0,19,1.9,1.78,3.25,3.21,4.75,4.28,11,2.05,1.96,1.75,1.73,3,0,1.42,1.33,3.25,3.0,ES,2009/2010
SP2,2009-08-29,Las Palmas,Sociedad,1,1,D,1,1,D,2.5,3.1,2.63,2.35,3.1,2.75,2.4,3.1,2.75,2.4,3.0,2.6,2.6,3.0,2.5,2.4,3.1,2.8,2.35,3.0,2.7,2.38,3.2,2.75,2.4,2.9,2.9,2.38,3.1,2.7,18,2.5,2.39,3.2,3.04,2.9,2.75,12,2.1,2.03,1.7,1.68,4,0,1.78,1.73,2.0,1.96,ES,2009/2010
SP2,2009-08-29,Real Union,Recreativo,0,1,A,0,0,D,3.4,3.25,2.0,3.45,3.25,1.95,3.4,3.25,2.0,3.2,3.1,2.0,3.0,3.2,2.1,3.4,3.25,2.0,3.0,3.1,2.15,3.2,3.2,2.1,3.4,3.1,2.0,3.25,3.2,2.05,17,3.5,3.34,3.3,3.19,2.15,2.03,10,2.1,2.04,1.7,1.67,3,0,2.5,2.36,1.59,1.53,ES,2009/2010
SP2,2009-08-29,Vallecano,Albacete,3,0,H,0,0,D,1.73,3.4,4.33,1.7,3.3,4.5,1.73,3.3,4.5,1.75,3.2,4.0,1.7,3.2,4.5,1.73,3.3,4.5,1.7,3.25,4.3,1.73,3.25,4.75,1.7,3.3,4.5,1.73,3.2,4.5,18,1.75,1.72,3.4,3.29,4.75,4.52,11,2.1,1.99,1.75,1.71,3,0,1.3,1.28,3.35,3.29,ES,2009/2010
SP2,2009-08-29,Villarreal B,Levante,2,2,D,0,2,A,2.5,3.1,2.63,2.45,3.05,2.65,2.5,3.1,2.6,2.6,3.0,2.4,2.4,3.0,2.7,2.5,3.0,2.75,2.3,3.0,2.8,2.5,3.2,2.6,2.5,3.0,2.62,2.5,3.0,2.62,18,2.65,2.5,3.2,2.99,2.8,2.69,11,1.87,1.8,1.95,1.87,4,0,1.8,1.75,2.05,1.92,ES,2009/2010
SP2,2009-08-30,Cadiz,Salamanca,0,1,A,0,0,D,2.25,3.2,2.9,2.2,3.1,3.0,2.3,3.1,2.9,2.2,3.0,2.9,2.1,3.1,3.1,2.25,3.1,3.0,2.25,2.9,3.0,2.25,3.2,2.88,2.2,3.0,3.0,2.2,3.1,3.0,19,2.3,2.23,3.2,3.08,3.2,2.99,12,2.05,1.93,1.8,1.76,3,0,1.62,1.61,2.15,2.13,ES,2009/2010
SP2,2009-08-30,Castellon,Hercules,0,0,D,0,0,D,2.5,3.1,2.63,2.35,3.05,2.8,2.5,3.1,2.6,2.3,3.0,2.7,2.4,3.0,2.7,,,,2.4,2.9,2.75,2.6,3.2,2.5,2.4,3.1,2.6,2.5,3.0,2.6,19,2.6,2.47,3.2,3.01,2.9,2.69,12,1.95,1.87,1.85,1.81,3,0,1.82,1.78,1.98,1.9,ES,2009/2010
SP2,2009-08-30,Elche,Huesca,0,2,A,0,1,A,2.0,3.25,3.4,2.0,3.2,3.35,2.0,3.25,3.4,2.0,3.1,3.2,2.1,3.2,3.0,1.95,3.25,3.6,1.95,3.0,3.6,2.0,3.2,3.5,2.0,3.1,3.4,1.95,3.2,3.5,19,2.05,2.0,3.25,3.16,3.65,3.44,12,2.05,2.0,1.73,1.7,3,0,1.48,1.46,2.6,2.47,ES,2009/2010
