Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,Season
SP2,1996-08-31,Almeria,Las Palmas,0.0,0.0,D,ES,1996/1997
SP2,1996-08-31,Leganes,Orense,5.0,0.0,H,ES,1996/1997
SP2,1996-08-31,Levante,Salamanca,2.0,2.0,D,ES,1996/1997
SP2,1996-08-31,Lleida,Osasuna,0.0,0.0,D,ES,1996/1997
SP2,1996-01-09,Alaves,Villarreal,2.0,1.0,H,ES,1996/1997
SP2,1996-01-09,Eibar,Barcelona B,1.0,0.0,H,ES,1996/1997
SP2,1996-01-09,Mallorca,Ath Madrid B,2.0,1.0,H,ES,1996/1997
SP2,1996-01-09,Merida,Albacete,4.0,0.0,H,ES,1996/1997
SP2,1996-01-09,Real Madrid B,Badajoz,1.0,3.0,A,ES,1996/1997
SP2,1996-01-09,Toledo,Ecija,4.0,0.0,H,ES,1996/1997
SP2,1996-07-09,Ath Madrid B,Alaves,1.0,2.0,A,ES,1996/1997
SP2,1996-07-09,Barcelona B,Lleida,0.0,0.0,D,ES,1996/1997
SP2,1996-07-09,Salamanca,Eibar,0.0,1.0,A,ES,1996/1997
SP2,1996-08-09,Albacete,Real Madrid B,2.0,2.0,D,ES,1996/1997
SP2,1996-08-09,Badajoz,Mallorca,3.0,1.0,H,ES,1996/1997
SP2,1996-08-09,Ecija,Almeria,0.0,1.0,A,ES,1996/1997
SP2,1996-08-09,Las Palmas,Leganes,2.0,0.0,H,ES,1996/1997
SP2,1996-08-09,Orense,Merida,2.0,0.0,H,ES,1996/1997
SP2,1996-08-09,Osasuna,Toledo,0.0,1.0,A,ES,1996/1997
SP2,1996-08-09,Villarreal,Levante,2.0,0.0,H,ES,1996/1997
SP2,1996-09-14,Albacete,Orense,2.0,0.0,H,ES,1996/1997
SP2,1996-09-14,Almeria,Osasuna,0.0,3.0,A,ES,1996/1997
SP2,1996-09-14,Levante,Ath Madrid B,3.0,2.0,H,ES,1996/1997
SP2,1996-09-14,Real Madrid B,Mallorca,0.0,1.0,A,ES,1996/1997
SP2,1996-09-15,Alaves,Badajoz,1.0,0.0,H,ES,1996/1997
SP2,1996-09-15,Eibar,Villarreal,2.0,0.0,H,ES,1996/1997
SP2,1996-09-15,Leganes,Ecija,4.0,1.0,H,ES,1996/1997
SP2,1996-09-15,Lleida,Salamanca,3.0,1.0,H,ES,1996/1997
SP2,1996-09-15,Merida,Las Palmas,2.0,0.0,H,ES,1996/1997
SP2,1996-09-15,Toledo,Barcelona B,2.0,2.0,D,ES,1996/1997
