Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
SP2,1999-08-22,Albacete,Eibar,3.0,1.0,H,1.0,1.0,D,ES,1999/2000
SP2,1999-08-22,Badajoz,Getafe,2.0,1.0,H,0.0,1.0,A,ES,1999/2000
SP2,1999-08-22,Compostela,Recreativo,3.0,0.0,H,0.0,0.0,D,ES,1999/2000
SP2,1999-08-22,Cordoba,Sp Gijon,0.0,1.0,A,0.0,1.0,A,ES,1999/2000
SP2,1999-08-22,Extremadura,Ath Madrid B,1.0,0.0,H,0.0,0.0,D,ES,1999/2000
SP2,1999-08-22,Las Palmas,Tenerife,2.0,0.0,H,1.0,0.0,H,ES,1999/2000
SP2,1999-08-22,Leganes,Merida,1.0,1.0,D,0.0,0.0,D,ES,1999/2000
SP2,1999-08-22,Lleida,Villarreal,2.0,2.0,D,1.0,0.0,H,ES,1999/2000
SP2,1999-08-22,Logrones,Levante,3.0,3.0,D,2.0,0.0,H,ES,1999/2000
SP2,1999-08-22,Osasuna,Toledo,3.0,0.0,H,2.0,0.0,H,ES,1999/2000
SP2,1999-08-22,Salamanca,Elche,2.0,1.0,H,0.0,1.0,A,ES,1999/2000
SP2,1999-08-29,Ath Madrid B,Leganes,4.0,3.0,H,1.0,2.0,A,ES,1999/2000
SP2,1999-08-29,Eibar,Badajoz,0.0,0.0,D,0.0,0.0,D,ES,1999/2000
SP2,1999-08-29,Elche,Albacete,1.0,1.0,D,1.0,0.0,H,ES,1999/2000
SP2,1999-08-29,Getafe,Extremadura,1.0,2.0,A,0.0,0.0,D,ES,1999/2000
SP2,1999-08-29,Levante,Lleida,3.0,0.0,H,2.0,0.0,H,ES,1999/2000
SP2,1999-08-29,Merida,Osasuna,2.0,0.0,H,2.0,0.0,H,ES,1999/2000
SP2,1999-08-29,Recreativo,Cordoba,1.0,0.0,H,0.0,0.0,D,ES,1999/2000
SP2,1999-08-29,Sp Gijon,Las Palmas,1.0,2.0,A,1.0,2.0,A,ES,1999/2000
SP2,1999-08-29,Tenerife,Logrones,2.0,1.0,H,1.0,0.0,H,ES,1999/2000
