Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,Country,Season
F2,2001-07-28,Ajaccio,Nancy,4,2,H,1,1,D,2.22,2.8,3.05,2.1,2.8,3.0,,,,FR,2001/2002
F2,2001-07-28,Amiens,Beauvais,0,1,A,0,0,D,2.07,2.8,3.4,2.1,2.9,2.9,,,,FR,2001/2002
F2,2001-07-28,Grenoble,Caen,4,3,H,1,2,A,2.08,2.85,3.3,2.0,2.9,3.0,,,,FR,2001/2002
F2,2001-07-28,Gueugnon,Nimes,4,3,H,3,1,H,1.95,2.9,3.6,1.9,2.7,3.5,,,,FR,2001/2002
F2,2001-07-28,Le Mans,Creteil,0,1,A,0,1,A,1.87,2.9,3.9,1.8,2.7,3.9,,,,FR,2001/2002
F2,2001-07-28,Nice,Laval,2,1,H,1,1,D,2.15,2.8,3.2,2.2,2.9,2.7,,,,FR,2001/2002
F2,2001-07-28,St Etienne,Istres,1,2,A,0,1,A,1.4,3.65,6.7,1.45,3.5,5.0,,,,FR,2001/2002
F2,2001-07-28,Wasquehal,Chateauroux,0,2,A,0,1,A,2.2,2.85,3.05,2.2,2.8,3.0,,,,FR,2001/2002
F2,2001-07-29,Le Havre,Strasbourg,1,1,D,0,1,A,2.4,2.85,2.75,,,,,,,FR,2001/2002
F2,2001-07-29,Martigues,Niort,1,1,D,1,1,D,2.5,2.8,2.65,2.5,2.7,2.5,,,,FR,2001/2002
F2,2001-08-04,Beauvais,Gueugnon,0,1,A,0,0,D,,,,2.2,2.8,2.8,,,,FR,2001/2002
F2,2001-08-04,Caen,Wasquehal,1,0,H,0,0,D,,,,1.85,2.8,3.5,,,,FR,2001/2002
F2,2001-08-04,Chateauroux,Ajaccio,0,2,A,0,1,A,,,,1.7,2.9,4.0,,,,FR,2001/2002
F2,2001-08-04,Grenoble,Le Mans,1,1,D,1,0,H,,,,1.85,2.8,3.5,,,,FR,2001/2002
F2,2001-08-04,Laval,Istres,2,0,H,0,0,D,,,,1.75,3.2,3.4,,,,FR,2001/2002
F2,2001-08-04,Nancy,Amiens,1,1,D,1,1,D,,,,1.6,3.2,4.2,,,,FR,2001/2002
F2,2001-08-04,Nimes,Martigues,0,0,D,0,0,D,,,,1.7,2.9,4.0,,,,FR,2001/2002
F2,2001-08-04,Niort,Le Havre,2,2,D,0,2,A,,,,1.8,2.9,3.6,,,,FR,2001/2002
F2,2001-08-04,Strasbourg,Nice,3,0,H,2,0,H,,,,1.45,3.5,5.0,,,,FR,2001/2002
F2,2001-08-05,Creteil,St Etienne,1,1,D,1,0,H,,,,2.5,2.7,2.5,,,,FR,2001/2002
F2,2001-08-10,Le Havre,Nancy,0,0,D,0,0,D,,,,2.0,2.8,3.1,,,,FR,2001/2002
F2,2001-08-11,Ajaccio,Caen,1,1,D,0,1,A,,,,1.65,3.0,4.2,,,,FR,2001/2002
F2,2001-08-11,Amiens,Grenoble,3,0,H,2,0,H,,,,2.1,2.8,3.0,,,,FR,2001/2002
F2,2001-08-11,Gueugnon,Chateauroux,2,0,H,1,0,H,,,,1.85,2.8,3.5,,,,FR,2001/2002
F2,2001-08-11,Istres,Strasbourg,0,1,A,0,0,D,,,,2.6,2.7,2.4,,,,FR,2001/2002
F2,2001-08-11,Laval,Niort,1,3,A,1,2,A,,,,2.0,2.8,3.1,,,,FR,2001/2002
F2,2001-08-11,Martigues,Beauvais,0,2,A,0,1,A,,,,2.1,2.7,3.1,,,,FR,2001/2002
F2,2001-08-11,Nice,Nimes,2,0,H,1,0,H,,,,1.85,2.9,3.4,,,,FR,2001/2002
F2,2001-08-11,St Etienne,Le Mans,2,2,D,0,2,A,,,,1.6,3.0,4.5,,,,FR,2001/2002
F2,2001-08-11,Wasquehal,Creteil,2,1,H,1,0,H,,,,2.1,2.7,3.1,,,,FR,2001/2002
F2,2001-08-17,Grenoble,St Etienne,1,0,H,0,0,D,,,,2.5,2.7,2.5,,,,FR,2001/2002
F2,2001-08-18,Beauvais,Nice,1,0,H,0,0,D,,,,1.85,2.8,3.5,,,,FR,2001/2002
F2,2001-08-18,Caen,Martigues,1,0,H,0,0,D,,,,1.9,2.7,3.5,,,,FR,2001/2002
F2,2001-08-18,Chateauroux,Amiens,2,0,H,0,0,D,,,,1.9,2.8,3.3,,,,FR,2001/2002
F2,2001-08-18,Creteil,Ajaccio,0,2,A,0,0,D,,,,2.2,2.8,2.8,,,,FR,2001/2002
F2,2001-08-18,Le Mans,Wasquehal,2,2,D,1,0,H,,,,1.85,2.8,3.5,,,,FR,2001/2002
F2,2001-08-18,Nancy,Gueugnon,0,1,A,0,1,A,,,,2.2,2.8,2.8,,,,FR,2001/2002
