Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Country,Season
F2,2003-01-08,Le Havre,Nancy,0,0,D,0,0,D,1.615,3.0,6.0,1.65,3.15,5.5,1.55,3.2,4.6,1.57,3.1,6.0,1.6,3.2,5.0,2.15,1.55,1.9,1.7,-0.75,FR,2003/2003
F2,2003-02-08,Angers,Valence,0,2,A,0,2,A,2.1,2.75,3.5,2.1,2.9,3.5,2.2,2.7,2.9,2.05,2.8,3.6,2.0,2.85,3.5,2.35,1.45,1.78,1.85,-0.25,FR,2003/2003
F2,2003-02-08,Chateauroux,St Etienne,2,0,H,1,0,H,1.909,2.875,4.0,1.9,3.0,4.0,1.85,2.8,3.5,1.9,2.87,4.0,1.9,2.9,3.75,2.35,1.45,1.9,1.7,-0.5,FR,2003/2003
F2,2003-02-08,Clermont,Rouen,0,0,D,0,0,D,1.833,2.875,4.333,1.8,3.0,4.5,1.8,2.8,3.7,1.83,2.87,4.33,1.8,2.9,4.2,2.25,1.5,1.8,1.8,-0.5,FR,2003/2003
F2,2003-02-08,Grenoble,Besancon,0,0,D,0,0,D,1.833,2.875,4.333,1.8,3.0,4.5,1.8,2.8,3.7,1.75,3.0,4.5,1.7,3.0,4.6,2.15,1.55,1.8,1.8,-0.5,FR,2003/2003
F2,2003-02-08,Gueugnon,Lorient,1,1,D,0,1,A,2.625,2.75,2.625,2.6,2.8,2.75,2.8,2.6,2.3,2.6,2.7,2.7,2.55,2.6,2.75,2.5,1.4,1.78,1.85,0.0,FR,2003/2003
F2,2003-02-08,Istres,Sedan,2,0,H,1,0,H,2.75,2.75,2.5,2.8,2.75,2.6,2.7,2.6,2.4,2.75,2.75,2.5,2.65,2.7,2.55,2.25,1.5,1.85,1.78,0.0,FR,2003/2003
F2,2003-02-08,Laval,Amiens,1,2,A,1,1,D,1.833,2.875,4.333,1.87,2.95,4.35,1.8,2.8,3.7,1.85,2.87,4.2,1.85,2.9,4.0,2.35,1.45,1.87,1.77,-0.5,FR,2003/2003
F2,2003-02-08,Niort,Creteil,3,0,H,1,0,H,1.727,2.875,5.0,1.8,3.0,4.5,1.8,2.8,3.7,1.72,2.9,5.0,1.75,2.9,4.5,2.25,1.5,1.8,1.8,-0.5,FR,2003/2003
F2,2003-02-08,Troyes,Caen,2,2,D,0,1,A,1.8,3.0,4.333,1.75,3.0,5.0,1.8,2.8,3.7,1.8,2.87,4.5,1.75,3.0,4.25,2.15,1.55,1.75,1.85,-0.5,FR,2003/2003
F2,2003-09-08,Amiens,Angers,1,0,H,0,0,D,1.727,2.875,5.0,1.75,2.9,5.15,1.6,3.0,4.6,1.72,2.9,5.0,1.6,2.95,5.75,2.2,1.5,2.05,1.7,-0.75,FR,2003/2003
F2,2003-09-08,Besancon,Istres,0,1,A,0,0,D,2.0,2.875,3.6,2.05,2.75,3.85,2.2,2.7,2.9,2.05,2.8,3.6,1.95,2.65,4.0,2.2,1.5,1.7,2.0,-0.25,FR,2003/2003
F2,2003-09-08,Caen,Clermont,1,2,A,0,0,D,1.727,2.875,5.0,1.73,2.9,5.25,1.7,2.9,4.0,1.75,2.87,5.0,1.7,2.8,5.25,2.15,1.55,1.75,1.95,-0.75,FR,2003/2003
F2,2003-09-08,Creteil,Gueugnon,1,1,D,0,0,D,2.25,2.75,3.2,2.2,2.7,3.4,2.3,2.7,2.7,2.2,2.62,3.5,2.05,2.6,3.75,2.15,1.55,1.85,1.85,-0.25,FR,2003/2003
F2,2003-09-08,Nancy,St Etienne,0,1,A,0,0,D,2.1,2.75,3.5,2.1,2.75,3.7,2.3,2.7,2.7,2.1,2.7,3.6,2.1,2.55,3.7,2.15,1.55,1.8,1.9,-0.25,FR,2003/2003
