Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,Season
F2,1996-10-08,Amiens,Martigues,0.0,0.0,D,FR,1996/1997
F2,1996-10-08,Charleville,Lorient,2.0,1.0,H,FR,1996/1997
F2,1996-10-08,Le Mans,Chateauroux,1.0,1.0,D,FR,1996/1997
F2,1996-10-08,Louhans-Cuis.,Niort,0.0,0.0,D,FR,1996/1997
F2,1996-10-08,Mulhouse,Gueugnon,1.0,2.0,A,FR,1996/1997
F2,1996-10-08,Red Star 93,Perpignan,0.0,2.0,A,FR,1996/1997
F2,1996-10-08,Sochaux,Laval,2.0,0.0,H,FR,1996/1997
F2,1996-10-08,St Brieuc,Toulon,1.0,2.0,A,FR,1996/1997
F2,1996-10-08,Toulouse,Epinal,1.0,0.0,H,FR,1996/1997
F2,1996-10-08,Valence,Beauvais,1.0,0.0,H,FR,1996/1997
F2,1996-11-08,Troyes,St Etienne,0.0,2.0,A,FR,1996/1997
F2,1996-08-17,Beauvais,Troyes,1.0,0.0,H,FR,1996/1997
F2,1996-08-17,Chateauroux,Toulouse,2.0,1.0,H,FR,1996/1997
F2,1996-08-17,Epinal,Amiens,0.0,3.0,A,FR,1996/1997
F2,1996-08-17,Gueugnon,Sochaux,1.0,0.0,H,FR,1996/1997
F2,1996-08-17,Le Mans,Red Star 93,0.0,1.0,A,FR,1996/1997
F2,1996-08-17,Lorient,Valence,1.0,0.0,H,FR,1996/1997
F2,1996-08-17,Martigues,St Brieuc,2.0,1.0,H,FR,1996/1997
F2,1996-08-17,Niort,Charleville,2.0,0.0,H,FR,1996/1997
F2,1996-08-17,Perpignan,Louhans-Cuis.,4.0,0.0,H,FR,1996/1997
F2,1996-08-17,St Etienne,Laval,4.0,0.0,H,FR,1996/1997
F2,1996-08-17,Toulon,Mulhouse,1.0,0.0,H,FR,1996/1997
F2,1996-08-20,Amiens,Chateauroux,0.0,2.0,A,FR,1996/1997
F2,1996-08-20,Charleville,Perpignan,0.0,2.0,A,FR,1996/1997
F2,1996-08-20,Laval,Beauvais,2.0,1.0,H,FR,1996/1997
F2,1996-08-20,Louhans-Cuis.,Gueugnon,1.0,1.0,D,FR,1996/1997
F2,1996-08-20,Mulhouse,Martigues,1.0,0.0,H,FR,1996/1997
F2,1996-08-20,Red Star 93,Toulon,2.0,1.0,H,FR,1996/1997
F2,1996-08-20,Sochaux,St Etienne,4.0,1.0,H,FR,1996/1997
F2,1996-08-20,St Brieuc,Epinal,1.0,0.0,H,FR,1996/1997
F2,1996-08-20,Toulouse,Le Mans,2.0,1.0,H,FR,1996/1997
F2,1996-08-20,Troyes,Lorient,2.0,0.0,H,FR,1996/1997
F2,1996-08-20,Valence,Niort,1.0,2.0,A,FR,1996/1997
F2,1996-08-24,Beauvais,St Etienne,0.0,0.0,D,FR,1996/1997
F2,1996-08-24,Chateauroux,St Brieuc,2.0,0.0,H,FR,1996/1997
F2,1996-08-24,Epinal,Mulhouse,3.0,1.0,H,FR,1996/1997
F2,1996-08-24,Gueugnon,Red Star 93,1.0,1.0,D,FR,1996/1997
F2,1996-08-24,Le Mans,Amiens,2.0,0.0,H,FR,1996/1997
F2,1996-08-24,Lorient,Laval,2.0,2.0,D,FR,1996/1997
F2,1996-08-24,Martigues,Charleville,3.0,0.0,H,FR,1996/1997
F2,1996-08-24,Niort,Troyes,3.0,1.0,H,FR,1996/1997
F2,1996-08-24,Perpignan,Sochaux,0.0,0.0,D,FR,1996/1997
F2,1996-08-24,Toulon,Louhans-Cuis.,2.0,2.0,D,FR,1996/1997
F2,1996-08-24,Toulouse,Valence,2.0,0.0,H,FR,1996/1997
F2,1996-08-27,Amiens,Toulouse,1.0,3.0,A,FR,1996/1997
F2,1996-08-27,Charleville,Toulon,0.0,3.0,A,FR,1996/1997
F2,1996-08-27,Laval,Niort,1.0,1.0,D,FR,1996/1997
F2,1996-08-27,Louhans-Cuis.,Martigues,0.0,0.0,D,FR,1996/1997
F2,1996-08-27,Mulhouse,Chateauroux,2.0,0.0,H,FR,1996/1997
