Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
F2,1999-07-31,Ajaccio,Lorient,0.0,1.0,A,0.0,1.0,A,FR,1999/2000
F2,1999-07-31,Chateauroux,Valence,3.0,3.0,D,0.0,2.0,A,FR,1999/2000
F2,1999-07-31,Creteil,Niort,1.0,1.0,D,1.0,0.0,H,FR,1999/2000
F2,1999-07-31,Guingamp,Amiens,2.0,3.0,A,2.0,0.0,H,FR,1999/2000
F2,1999-07-31,Laval,Lille,0.0,1.0,A,0.0,1.0,A,FR,1999/2000
F2,1999-07-31,Louhans-Cuis.,Cannes,0.0,1.0,A,0.0,0.0,D,FR,1999/2000
F2,1999-07-31,Nice,Gueugnon,1.0,1.0,D,0.0,0.0,D,FR,1999/2000
F2,1999-07-31,Nimes,Sochaux,2.0,1.0,H,1.0,0.0,H,FR,1999/2000
F2,1999-07-31,Toulouse,Caen,0.0,1.0,A,0.0,1.0,A,FR,1999/2000
F2,1999-07-31,Wasquehal,Le Mans,1.0,2.0,A,0.0,1.0,A,FR,1999/2000
F2,1999-05-08,Lorient,Chateauroux,1.0,1.0,D,1.0,0.0,H,FR,1999/2000
F2,1999-07-08,Amiens,Laval,1.0,1.0,D,0.0,0.0,D,FR,1999/2000
F2,1999-07-08,Caen,Wasquehal,0.0,0.0,D,0.0,0.0,D,FR,1999/2000
F2,1999-07-08,Cannes,Toulouse,0.0,2.0,A,0.0,1.0,A,FR,1999/2000
F2,1999-07-08,Gueugnon,Ajaccio,2.0,2.0,D,1.0,2.0,A,FR,1999/2000
F2,1999-07-08,Guingamp,Creteil,0.0,2.0,A,0.0,1.0,A,FR,1999/2000
F2,1999-07-08,Le Mans,Niort,2.0,2.0,D,2.0,1.0,H,FR,1999/2000
F2,1999-07-08,Lille,Nimes,1.0,0.0,H,0.0,0.0,D,FR,1999/2000
F2,1999-07-08,Sochaux,Nice,2.0,1.0,H,1.0,1.0,D,FR,1999/2000
F2,1999-07-08,Valence,Louhans-Cuis.,3.0,0.0,H,0.0,0.0,D,FR,1999/2000
F2,1999-08-13,Ajaccio,Sochaux,0.0,2.0,A,0.0,0.0,D,FR,1999/2000
F2,1999-08-13,Chateauroux,Gueugnon,0.0,1.0,A,0.0,0.0,D,FR,1999/2000
F2,1999-08-13,Creteil,Le Mans,1.0,1.0,D,1.0,0.0,H,FR,1999/2000
