Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,Season
I1,1994-04-09,Bari,Lazio,0.0,1.0,A,IT,1994/1995
I1,1994-04-09,Brescia,Juventus,1.0,1.0,D,IT,1994/1995
I1,1994-04-09,Fiorentina,Cagliari,2.0,1.0,H,IT,1994/1995
I1,1994-04-09,Milan,Genoa,1.0,0.0,H,IT,1994/1995
I1,1994-04-09,Napoli,Reggiana,1.0,0.0,H,IT,1994/1995
I1,1994-04-09,Parma,Cremonese,2.0,0.0,H,IT,1994/1995
I1,1994-04-09,Roma,Foggia,1.0,1.0,D,IT,1994/1995
I1,1994-04-09,Sampdoria,Padova,5.0,0.0,H,IT,1994/1995
I1,1994-04-09,Torino,Inter,0.0,2.0,A,IT,1994/1995
I1,1994-11-09,Cagliari,Milan,1.0,1.0,D,IT,1994/1995
I1,1994-11-09,Cremonese,Napoli,2.0,0.0,H,IT,1994/1995
I1,1994-11-09,Foggia,Brescia,3.0,1.0,H,IT,1994/1995
I1,1994-11-09,Genoa,Fiorentina,1.0,1.0,D,IT,1994/1995
I1,1994-11-09,Inter,Roma,0.0,1.0,A,IT,1994/1995
I1,1994-11-09,Juventus,Bari,2.0,0.0,H,IT,1994/1995
I1,1994-11-09,Lazio,Torino,3.0,0.0,H,IT,1994/1995
I1,1994-11-09,Padova,Parma,0.0,3.0,A,IT,1994/1995
I1,1994-11-09,Reggiana,Sampdoria,0.0,2.0,A,IT,1994/1995
I1,1994-09-18,Bari,Reggiana,1.0,0.0,H,IT,1994/1995
I1,1994-09-18,Brescia,Inter,0.0,0.0,D,IT,1994/1995
I1,1994-09-18,Fiorentina,Cremonese,3.0,1.0,H,IT,1994/1995
I1,1994-09-18,Milan,Lazio,2.0,1.0,H,IT,1994/1995
I1,1994-09-18,Napoli,Juventus,0.0,2.0,A,IT,1994/1995
I1,1994-09-18,Parma,Cagliari,2.0,1.0,H,IT,1994/1995
I1,1994-09-18,Roma,Genoa,3.0,0.0,H,IT,1994/1995
I1,1994-09-18,Sampdoria,Foggia,1.0,1.0,D,IT,1994/1995
I1,1994-09-18,Torino,Padova,2.0,0.0,H,IT,1994/1995
I1,1994-09-25,Cagliari,Brescia,2.0,0.0,H,IT,1994/1995
I1,1994-09-25,Cremonese,Milan,1.0,0.0,H,IT,1994/1995
I1,1994-09-25,Foggia,Torino,0.0,2.0,A,IT,1994/1995
I1,1994-09-25,Genoa,Napoli,3.0,3.0,D,IT,1994/1995
I1,1994-09-25,Inter,Fiorentina,3.0,1.0,H,IT,1994/1995
I1,1994-09-25,Juventus,Sampdoria,1.0,0.0,H,IT,1994/1995
I1,1994-09-25,Lazio,Parma,2.0,2.0,D,IT,1994/1995
I1,1994-09-25,Padova,Bari,0.0,2.0,A,IT,1994/1995
I1,1994-09-25,Reggiana,Roma,1.0,4.0,A,IT,1994/1995
I1,1994-02-10,Bari,Cagliari,0.0,0.0,D,IT,1994/1995
I1,1994-02-10,Cremonese,Foggia,1.0,3.0,A,IT,1994/1995
I1,1994-02-10,Fiorentina,Lazio,1.0,1.0,D,IT,1994/1995
I1,1994-02-10,Genoa,Reggiana,3.0,1.0,H,IT,1994/1995
I1,1994-02-10,Juventus,Inter,0.0,0.0,D,IT,1994/1995
I1,1994-02-10,Milan,Brescia,1.0,0.0,H,IT,1994/1995
I1,1994-02-10,Napoli,Padova,3.0,3.0,D,IT,1994/1995
I1,1994-02-10,Parma,Torino,2.0,0.0,H,IT,1994/1995
I1,1994-02-10,Roma,Sampdoria,1.0,0.0,H,IT,1994/1995
I1,1994-10-15,Brescia,Genoa,1.0,2.0,A,IT,1994/1995
I1,1994-10-15,Cagliari,Cremonese,1.0,0.0,H,IT,1994/1995
I1,1994-10-15,Foggia,Juventus,2.0,0.0,H,IT,1994/1995
I1,1994-10-15,Inter,Bari,1.0,2.0,A,IT,1994/1995
I1,1994-10-15,Lazio,Napoli,5.0,1.0,H,IT,1994/1995
I1,1994-10-15,Padova,Milan,2.0,0.0,H,IT,1994/1995
I1,1994-10-15,Reggiana,Fiorentina,1.0,1.0,D,IT,1994/1995
I1,1994-10-15,Sampdoria,Parma,3.0,1.0,H,IT,1994/1995
I1,1994-10-16,Torino,Roma,2.0,2.0,D,IT,1994/1995
I1,1994-10-23,Cremonese,Juventus,1.0,2.0,A,IT,1994/1995
I1,1994-10-23,Fiorentina,Padova,4.0,1.0,H,IT,1994/1995
I1,1994-10-23,Foggia,Inter,0.0,0.0,D,IT,1994/1995
I1,1994-10-23,Genoa,Lazio,1.0,2.0,A,IT,1994/1995
I1,1994-10-23,Milan,Sampdoria,0.0,0.0,D,IT,1994/1995
I1,1994-10-23,Napoli,Bari,3.0,0.0,H,IT,1994/1995
I1,1994-10-23,Parma,Reggiana,2.0,1.0,H,IT,1994/1995
I1,1994-10-23,Roma,Cagliari,1.0,1.0,D,IT,1994/1995
I1,1994-10-23,Torino,Brescia,2.0,0.0,H,IT,1994/1995
I1,1994-10-30,Bari,Genoa,4.0,1.0,H,IT,1994/1995
I1,1994-10-30,Brescia,Fiorentina,2.0,4.0,A,IT,1994/1995
I1,1994-10-30,Cagliari,Torino,1.0,0.0,H,IT,1994/1995
I1,1994-10-30,Inter,Reggiana,1.0,0.0,H,IT,1994/1995
I1,1994-10-30,Juventus,Milan,1.0,0.0,H,IT,1994/1995
I1,1994-10-30,Lazio,Cremonese,1.0,0.0,H,IT,1994/1995
I1,1994-10-30,Padova,Foggia,0.0,0.0,D,IT,1994/1995
I1,1994-10-30,Parma,Roma,1.0,0.0,H,IT,1994/1995
I1,1994-10-30,Sampdoria,Napoli,0.0,0.0,D,IT,1994/1995
I1,1994-06-11,Cremonese,Sampdoria,2.0,0.0,H,IT,1994/1995
I1,1994-06-11,Fiorentina,Bari,2.0,0.0,H,IT,1994/1995
I1,1994-06-11,Foggia,Cagliari,2.0,0.0,H,IT,1994/1995
I1,1994-06-11,Genoa,Inter,2.0,1.0,H,IT,1994/1995
I1,1994-06-11,Milan,Parma,1.0,1.0,D,IT,1994/1995
I1,1994-06-11,Padova,Brescia,2.0,0.0,H,IT,1994/1995
I1,1994-06-11,Reggiana,Lazio,0.0,0.0,D,IT,1994/1995
I1,1994-06-11,Roma,Napoli,1.0,1.0,D,IT,1994/1995
I1,1994-11-20,Bari,Cremonese,2.0,0.0,H,IT,1994/1995
I1,1994-11-20,Brescia,Roma,0.0,0.0,D,IT,1994/1995
I1,1994-11-20,Cagliari,Genoa,1.0,0.0,H,IT,1994/1995
I1,1994-11-20,Juventus,Reggiana,3.0,1.0,H,IT,1994/1995
I1,1994-11-20,Lazio,Padova,5.0,1.0,H,IT,1994/1995
I1,1994-11-20,Milan,Inter,1.0,1.0,D,IT,1994/1995
I1,1994-11-20,Napoli,Fiorentina,2.0,5.0,A,IT,1994/1995
I1,1994-11-20,Parma,Foggia,2.0,0.0,H,IT,1994/1995
I1,1994-11-20,Sampdoria,Torino,1.0,1.0,D,IT,1994/1995
I1,1994-11-27,Brescia,Bari,1.0,2.0,A,IT,1994/1995
I1,1994-11-27,Fiorentina,Sampdoria,2.0,2.0,D,IT,1994/1995
I1,1994-11-27,Foggia,Napoli,1.0,1.0,D,IT,1994/1995
I1,1994-11-27,Genoa,Cremonese,0.0,1.0,A,IT,1994/1995
I1,1994-11-27,Inter,Parma,1.0,1.0,D,IT,1994/1995
I1,1994-11-27,Lazio,Roma,0.0,3.0,A,IT,1994/1995
I1,1994-11-27,Padova,Juventus,1.0,2.0,A,IT,1994/1995
I1,1994-11-27,Reggiana,Cagliari,0.0,0.0,D,IT,1994/1995
I1,1994-04-12,Bari,Foggia,2.0,1.0,H,IT,1994/1995
I1,1994-04-12,Cagliari,Lazio,1.0,1.0,D,IT,1994/1995
I1,1994-04-12,Cremonese,Inter,0.0,1.0,A,IT,1994/1995
I1,1994-04-12,Juventus,Fiorentina,3.0,2.0,H,IT,1994/1995
I1,1994-04-12,Napoli,Torino,1.0,1.0,D,IT,1994/1995
I1,1994-04-12,Parma,Brescia,4.0,0.0,H,IT,1994/1995
I1,1994-04-12,Roma,Padova,2.0,0.0,H,IT,1994/1995
I1,1994-04-12,Sampdoria,Genoa,3.0,2.0,H,IT,1994/1995
I1,1994-11-12,Brescia,Sampdoria,0.0,0.0,D,IT,1994/1995
I1,1994-11-12,Fiorentina,Roma,1.0,0.0,H,IT,1994/1995
I1,1994-11-12,Foggia,Milan,1.0,3.0,A,IT,1994/1995
I1,1994-11-12,Genoa,Parma,0.0,0.0,D,IT,1994/1995
I1,1994-11-12,Inter,Napoli,0.0,2.0,A,IT,1994/1995
I1,1994-11-12,Lazio,Juventus,3.0,4.0,A,IT,1994/1995
I1,1994-11-12,Padova,Cagliari,2.0,1.0,H,IT,1994/1995
I1,1994-11-12,Reggiana,Cremonese,2.0,0.0,H,IT,1994/1995
I1,1994-11-12,Torino,Bari,2.0,0.0,H,IT,1994/1995
I1,1994-12-18,Bari,Parma,1.0,2.0,A,IT,1994/1995
I1,1994-12-18,Cremonese,Torino,3.0,0.0,H,IT,1994/1995
I1,1994-12-18,Fiorentina,Foggia,1.0,1.0,D,IT,1994/1995
I1,1994-12-18,Inter,Lazio,0.0,2.0,A,IT,1994/1995
I1,1994-12-18,Juventus,Genoa,1.0,1.0,D,IT,1994/1995
I1,1994-12-18,Reggiana,Padova,3.0,0.0,H,IT,1994/1995
I1,1994-12-18,Roma,Milan,0.0,0.0,D,IT,1994/1995
I1,1994-12-18,Sampdoria,Cagliari,5.0,0.0,H,IT,1994/1995
I1,1994-12-19,Napoli,Brescia,1.0,1.0,D,IT,1994/1995
I1,1994-12-21,Torino,Milan,0.0,0.0,D,IT,1994/1995
I1,1995-08-01,Brescia,Reggiana,1.0,0.0,H,IT,1994/1995
I1,1995-08-01,Cagliari,Inter,1.0,1.0,D,IT,1994/1995
I1,1995-08-01,Foggia,Genoa,2.0,1.0,H,IT,1994/1995
I1,1995-08-01,Milan,Napoli,1.0,1.0,D,IT,1994/1995
I1,1995-08-01,Padova,Cremonese,3.0,2.0,H,IT,1994/1995
I1,1995-08-01,Parma,Juventus,1.0,3.0,A,IT,1994/1995
I1,1995-08-01,Roma,Bari,2.0,0.0,H,IT,1994/1995
I1,1995-08-01,Sampdoria,Lazio,3.0,1.0,H,IT,1994/1995
I1,1995-08-01,Torino,Fiorentina,1.0,0.0,H,IT,1994/1995
I1,1995-11-01,Milan,Reggiana,2.0,1.0,H,IT,1994/1995
I1,1995-01-15,Bari,Milan,3.0,5.0,A,IT,1994/1995
I1,1995-01-15,Cremonese,Brescia,0.0,0.0,D,IT,1994/1995
I1,1995-01-15,Fiorentina,Parma,1.0,1.0,D,IT,1994/1995
I1,1995-01-15,Genoa,Padova,2.0,1.0,H,IT,1994/1995
I1,1995-01-15,Inter,Sampdoria,2.0,0.0,H,IT,1994/1995
I1,1995-01-15,Juventus,Roma,3.0,0.0,H,IT,1994/1995
I1,1995-01-15,Lazio,Foggia,7.0,1.0,H,IT,1994/1995
I1,1995-01-15,Napoli,Cagliari,1.0,1.0,D,IT,1994/1995
I1,1995-01-15,Reggiana,Torino,1.0,0.0,H,IT,1994/1995
I1,1995-01-22,Brescia,Lazio,0.0,1.0,A,IT,1994/1995
I1,1995-01-22,Cagliari,Juventus,3.0,0.0,H,IT,1994/1995
I1,1995-01-22,Foggia,Reggiana,1.0,0.0,H,IT,1994/1995
I1,1995-01-22,Milan,Fiorentina,2.0,0.0,H,IT,1994/1995
I1,1995-01-22,Padova,Inter,1.0,0.0,H,IT,1994/1995
I1,1995-01-22,Parma,Napoli,2.0,0.0,H,IT,1994/1995
I1,1995-01-22,Roma,Cremonese,1.0,1.0,D,IT,1994/1995
I1,1995-01-22,Sampdoria,Bari,1.0,1.0,D,IT,1994/1995
I1,1995-01-22,Torino,Genoa,0.0,0.0,D,IT,1994/1995
I1,1995-01-25,Torino,Juventus,3.0,2.0,H,IT,1994/1995
I1,1995-01-29,Cagliari,Fiorentina,2.0,0.0,H,IT,1994/1995
I1,1995-01-29,Cremonese,Parma,1.0,1.0,D,IT,1994/1995
I1,1995-01-29,Foggia,Roma,0.0,1.0,A,IT,1994/1995
I1,1995-01-29,Inter,Torino,2.0,1.0,H,IT,1994/1995
I1,1995-01-29,Juventus,Brescia,2.0,1.0,H,IT,1994/1995
I1,1995-01-29,Lazio,Bari,1.0,2.0,A,IT,1994/1995
I1,1995-01-29,Padova,Sampdoria,1.0,4.0,A,IT,1994/1995
I1,1995-01-29,Reggiana,Napoli,1.0,2.0,A,IT,1994/1995
I1,1995-12-02,Bari,Juventus,0.0,2.0,A,IT,1994/1995
I1,1995-12-02,Brescia,Foggia,1.0,0.0,H,IT,1994/1995
I1,1995-12-02,Fiorentina,Genoa,3.0,1.0,H,IT,1994/1995
I1,1995-12-02,Milan,Cagliari,1.0,1.0,D,IT,1994/1995
I1,1995-12-02,Napoli,Cremonese,1.0,0.0,H,IT,1994/1995
I1,1995-12-02,Parma,Padova,1.0,0.0,H,IT,1994/1995
I1,1995-12-02,Roma,Inter,3.0,1.0,H,IT,1994/1995
I1,1995-12-02,Sampdoria,Reggiana,2.0,1.0,H,IT,1994/1995
I1,1995-12-02,Torino,Lazio,2.0,0.0,H,IT,1994/1995
I1,1995-02-15,Genoa,Milan,1.0,1.0,D,IT,1994/1995
I1,1995-02-19,Cagliari,Parma,2.0,0.0,H,IT,1994/1995
I1,1995-02-19,Cremonese,Fiorentina,0.0,0.0,D,IT,1994/1995
I1,1995-02-19,Foggia,Sampdoria,1.0,1.0,D,IT,1994/1995
I1,1995-02-19,Genoa,Roma,1.0,0.0,H,IT,1994/1995
I1,1995-02-19,Inter,Brescia,1.0,0.0,H,IT,1994/1995
I1,1995-02-19,Juventus,Napoli,1.0,0.0,H,IT,1994/1995
I1,1995-02-19,Lazio,Milan,4.0,0.0,H,IT,1994/1995
I1,1995-02-19,Padova,Torino,4.0,2.0,H,IT,1994/1995
I1,1995-02-19,Reggiana,Bari,0.0,1.0,A,IT,1994/1995
I1,1995-02-26,Bari,Padova,0.0,1.0,A,IT,1994/1995
I1,1995-02-26,Brescia,Cagliari,2.0,3.0,A,IT,1994/1995
I1,1995-02-26,Fiorentina,Inter,2.0,2.0,D,IT,1994/1995
