Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,Country,Season
I2,2001-08-24,Genoa,Napoli,0,2,A,0,0,D,,,,2.0,2.6,3.3,,,,1.9,2.65,4.3,IT,2001/2002
I2,2001-08-26,Ancona,Reggina,1,0,H,1,0,H,,,,,,,2.3,2.5,3.4,2.3,2.6,3.15,IT,2001/2002
I2,2001-08-26,Cagliari,Messina,0,0,D,0,0,D,,,,1.5,3.0,5.5,1.44,3.4,7.0,1.35,3.5,9.0,IT,2001/2002
I2,2001-08-26,Como,Crotone,1,1,D,0,0,D,,,,1.9,2.7,3.5,1.91,2.62,4.5,2.0,2.5,4.2,IT,2001/2002
I2,2001-08-26,Cosenza,Cittadella,2,1,H,0,0,D,,,,1.65,2.7,4.5,1.67,2.8,6.0,1.7,2.8,5.2,IT,2001/2002
I2,2001-08-26,Empoli,Palermo,5,3,H,2,0,H,,,,1.6,2.8,4.6,1.62,2.9,6.0,1.6,2.9,6.0,IT,2001/2002
I2,2001-08-26,Modena,Bari,2,0,H,1,0,H,,,,2.6,2.6,2.5,2.7,2.5,2.8,2.65,2.6,2.65,IT,2001/2002
I2,2001-08-26,Salernitana,Sampdoria,2,0,H,0,0,D,,,,2.5,2.6,2.6,2.1,2.6,3.75,2.1,2.6,3.6,IT,2001/2002
I2,2001-08-26,Ternana,Siena,3,0,H,1,0,H,,,,1.6,2.8,4.6,1.44,3.25,8.0,1.55,3.0,6.5,IT,2001/2002
I2,2001-08-26,Vicenza,Pistoiese,1,1,D,0,0,D,,,,1.4,3.0,7.0,,,,1.35,3.7,8.0,IT,2001/2002
I2,2001-02-09,Bari,Empoli,2,2,D,1,1,D,,,,1.9,2.5,4.0,1.8,2.7,5.0,2.0,2.75,3.6,IT,2001/2002
I2,2001-02-09,Cittadella,Salernitana,4,4,D,3,2,H,,,,2.5,2.5,2.7,2.4,2.62,3.0,2.55,2.7,2.65,IT,2001/2002
I2,2001-02-09,Crotone,Modena,1,2,A,0,0,D,,,,1.8,2.6,4.4,1.8,2.7,5.0,1.8,2.75,4.6,IT,2001/2002
I2,2001-02-09,Messina,Ternana,1,1,D,0,0,D,,,,2.5,2.5,2.7,2.7,2.5,2.8,2.5,2.5,3.2,IT,2001/2002
I2,2001-02-09,Napoli,Ancona,1,2,A,1,1,D,,,,1.5,3.0,5.5,1.5,3.25,6.5,1.5,3.1,6.75,IT,2001/2002
I2,2001-02-09,Pistoiese,Genoa,0,1,A,0,0,D,,,,2.3,2.5,2.9,2.5,2.5,3.1,2.35,2.55,3.1,IT,2001/2002
I2,2001-02-09,Reggina,Como,4,1,H,1,0,H,,,,1.6,2.8,5.2,1.57,2.9,7.0,1.55,2.95,6.5,IT,2001/2002
I2,2001-02-09,Sampdoria,Cosenza,1,1,D,1,1,D,,,,1.6,2.8,5.2,1.5,3.25,6.5,1.6,2.95,5.75,IT,2001/2002
I2,2001-02-09,Siena,Vicenza,2,4,A,2,1,H,,,,2.5,2.5,2.7,2.7,2.5,2.8,2.6,2.6,2.7,IT,2001/2002
I2,2001-03-09,Palermo,Cagliari,0,0,D,0,0,D,,,,2.4,2.5,2.8,,,,2.35,2.55,3.1,IT,2001/2002
I2,2001-09-09,Ancona,Siena,0,0,D,0,0,D,,,,1.65,2.6,5.2,,,,1.65,2.85,5.5,IT,2001/2002
I2,2001-09-09,Cagliari,Bari,1,2,A,1,2,A,,,,1.9,2.6,3.7,,,,1.9,2.75,4.0,IT,2001/2002
I2,2001-09-09,Cosenza,Ternana,2,2,D,2,0,H,,,,2.3,2.4,3.1,,,,2.3,2.5,3.3,IT,2001/2002
I2,2001-09-09,Empoli,Messina,2,0,H,0,0,D,,,,1.55,2.8,5.5,,,,1.45,3.25,7.0,IT,2001/2002
I2,2001-09-09,Genoa,Como,2,1,H,1,1,D,,,,1.6,2.8,4.9,,,,1.55,3.0,6.5,IT,2001/2002
I2,2001-09-09,Palermo,Pistoiese,1,0,H,1,0,H,,,,1.8,2.6,4.0,,,,1.75,2.75,5.0,IT,2001/2002
I2,2001-09-09,Salernitana,Crotone,0,0,D,0,0,D,,,,1.6,2.8,4.9,,,,1.55,3.1,6.0,IT,2001/2002
I2,2001-09-09,Vicenza,Cittadella,2,1,H,1,0,H,,,,1.4,3.2,6.5,,,,1.35,3.75,7.5,IT,2001/2002
I2,2001-10-09,Modena,Napoli,4,1,H,2,1,H,,,,2.3,2.6,2.8,,,,2.3,2.65,3.1,IT,2001/2002
I2,2001-10-09,Reggina,Sampdoria,2,0,H,1,0,H,,,,2.0,2.5,3.6,,,,1.9,2.75,4.0,IT,2001/2002
I2,2001-09-16,Como,Salernitana,1,0,H,1,0,H,,,,2.3,2.5,2.9,,,,2.35,2.65,3.0,IT,2001/2002
I2,2001-09-16,Crotone,Cagliari,4,2,H,2,1,H,,,,2.4,2.4,2.9,,,,2.4,2.5,3.1,IT,2001/2002
I2,2001-09-16,Messina,Ancona,1,1,D,0,0,D,,,,2.2,2.4,3.3,,,,2.15,2.5,3.65,IT,2001/2002
I2,2001-09-16,Pistoiese,Cosenza,0,1,A,0,1,A,,,,2.3,2.4,3.0,,,,2.3,2.5,3.3,IT,2001/2002
I2,2001-09-16,Sampdoria,Empoli,0,2,A,0,2,A,,,,2.1,2.5,3.4,,,,2.0,2.7,3.7,IT,2001/2002
I2,2001-09-16,Siena,Genoa,0,1,A,0,1,A,,,,2.6,2.5,2.6,,,,2.5,2.5,2.95,IT,2001/2002
I2,2001-09-16,Ternana,Modena,0,0,D,0,0,D,,,,1.7,2.7,4.4,,,,1.7,2.85,5.0,IT,2001/2002
I2,2001-09-17,Bari,Palermo,2,0,H,1,0,H,,,,1.7,2.7,4.4,,,,1.6,2.9,6.0,IT,2001/2002
I2,2001-09-17,Cittadella,Reggina,0,2,A,0,0,D,,,,,,,,,,2.65,2.6,2.65,IT,2001/2002
I2,2001-09-23,Ancona,Crotone,1,0,H,1,0,H,,,,1.8,2.6,4.0,,,,1.8,2.65,4.75,IT,2001/2002
I2,2001-09-23,Cosenza,Como,1,4,A,0,0,D,,,,1.8,2.5,4.2,,,,1.75,2.7,5.0,IT,2001/2002
I2,2001-09-23,Empoli,Napoli,1,0,H,0,0,D,,,,1.8,2.5,4.2,,,,1.7,3.0,4.5,IT,2001/2002
I2,2001-09-23,Genoa,Messina,3,0,H,3,0,H,,,,1.45,3.0,6.0,,,,1.5,3.25,6.0,IT,2001/2002
I2,2001-09-23,Modena,Siena,2,2,D,1,2,A,,,,1.7,2.7,4.4,,,,1.65,2.8,5.5,IT,2001/2002
I2,2001-09-23,Palermo,Cittadella,3,1,H,1,0,H,,,,1.8,2.6,4.0,,,,1.7,3.0,4.5,IT,2001/2002
I2,2001-09-23,Reggina,Bari,0,0,D,0,0,D,,,,1.8,2.6,4.0,,,,1.85,2.6,4.6,IT,2001/2002
I2,2001-09-23,Salernitana,Pistoiese,2,1,H,1,0,H,,,,1.5,3.0,4.5,,,,1.45,3.3,6.75,IT,2001/2002
I2,2001-09-23,Vicenza,Ternana,1,1,D,0,0,D,,,,1.85,2.4,4.4,,,,1.75,2.65,5.2,IT,2001/2002
I2,2001-09-24,Cagliari,Sampdoria,0,2,A,0,0,D,,,,2.1,2.5,3.3,,,,2.0,2.65,3.8,IT,2001/2002
I2,2001-09-28,Ternana,Genoa,0,0,D,0,0,D,,,,2.1,2.5,3.3,,,,2.1,2.6,3.6,IT,2001/2002
I2,2001-09-30,Bari,Crotone,0,2,A,0,1,A,,,,1.6,2.8,4.8,1.5,3.2,7.0,1.6,3.0,5.7,IT,2001/2002
I2,2001-09-30,Cittadella,Empoli,2,1,H,1,0,H,,,,2.8,2.6,2.3,3.1,2.7,2.3,3.2,2.65,2.25,IT,2001/2002
I2,2001-09-30,Como,Ancona,1,0,H,1,0,H,,,,2.1,2.5,3.3,2.0,2.62,4.0,2.0,2.6,4.0,IT,2001/2002
I2,2001-09-30,Cosenza,Reggina,0,1,A,0,0,D,,,,2.6,2.4,2.7,2.7,2.7,2.6,2.65,2.55,2.7,IT,2001/2002
I2,2001-09-30,Messina,Vicenza,0,0,D,0,0,D,,,,2.6,2.5,2.6,2.7,2.6,2.7,2.7,2.55,2.65,IT,2001/2002
I2,2001-09-30,Napoli,Cagliari,0,0,D,0,0,D,,,,1.9,2.7,3.5,1.8,2.75,5.0,1.8,2.8,4.5,IT,2001/2002
I2,2001-09-30,Pistoiese,Modena,0,0,D,0,0,D,,,,2.3,2.5,2.9,2.3,2.6,3.2,2.3,2.6,3.15,IT,2001/2002
I2,2001-09-30,Sampdoria,Palermo,1,2,A,0,0,D,,,,1.65,2.8,4.4,1.62,3.0,5.5,1.65,2.85,5.5,IT,2001/2002
I2,2001-01-10,Siena,Salernitana,2,1,H,0,1,A,,,,2.2,2.6,3.0,2.5,2.5,3.1,2.5,2.65,2.8,IT,2001/2002
I2,2001-07-10,Ancona,Genoa,1,1,D,0,0,D,,,,2.4,2.5,2.9,2.5,2.5,3.1,2.35,2.5,3.2,IT,2001/2002
I2,2001-07-10,Cagliari,Siena,1,1,D,0,0,D,,,,1.75,2.7,4.4,1.67,2.88,5.5,1.75,2.75,5.0,IT,2001/2002
I2,2001-07-10,Crotone,Cittadella,1,2,A,1,1,D,,,,1.7,2.8,4.6,1.73,2.75,5.5,1.7,2.85,5.0,IT,2001/2002
I2,2001-07-10,Empoli,Pistoiese,1,1,D,1,0,H,,,,1.5,3.2,5.4,1.44,3.25,8.0,1.5,3.2,6.5,IT,2001/2002
I2,2001-07-10,Modena,Como,3,0,H,2,0,H,,,,2.0,2.6,3.4,2.0,2.5,4.5,2.0,2.55,4.1,IT,2001/2002
I2,2001-07-10,Reggina,Palermo,1,1,D,0,0,D,,,,1.6,2.9,5.0,1.57,3.1,6.0,1.55,2.9,7.0,IT,2001/2002
I2,2001-07-10,Salernitana,Messina,1,2,A,1,0,H,,,,1.6,2.7,5.5,1.57,3.0,6.5,1.6,2.9,6.0,IT,2001/2002
I2,2001-07-10,Ternana,Napoli,1,2,A,1,0,H,,,,1.9,2.5,4.0,1.91,2.7,4.33,1.75,2.8,4.8,IT,2001/2002
I2,2001-08-10,Sampdoria,Bari,3,0,H,1,0,H,,,,2.2,2.6,3.0,2.0,2.5,4.33,2.1,2.6,3.6,IT,2001/2002
I2,2001-08-10,Vicenza,Cosenza,3,2,H,0,1,A,,,,1.6,2.7,5.5,1.5,3.25,6.5,1.5,3.1,7.0,IT,2001/2002
I2,2001-12-10,Bari,Genoa,1,0,H,1,0,H,,,,,,,2.5,2.62,3.0,2.4,2.5,3.1,IT,2001/2002
I2,2001-10-14,Cittadella,Napoli,1,2,A,0,1,A,,,,2.55,2.5,2.65,2.5,2.7,2.8,2.5,2.75,2.7,IT,2001/2002
I2,2001-10-14,Messina,Palermo,2,0,H,1,0,H,,,,2.4,2.4,2.9,2.3,2.5,3.4,2.4,2.5,3.1,IT,2001/2002
I2,2001-10-14,Modena,Cagliari,3,0,H,1,0,H,,,,1.8,2.7,3.9,1.73,2.88,5.0,1.9,2.75,4.0,IT,2001/2002
I2,2001-10-14,Reggina,Empoli,1,0,H,0,0,D,,,,,,,2.0,2.5,4.33,,,,IT,2001/2002
I2,2001-10-14,Salernitana,Cosenza,2,1,H,1,1,D,,,,1.9,2.5,3.8,1.73,2.88,5.0,1.8,2.75,4.6,IT,2001/2002
I2,2001-10-14,Sampdoria,Pistoiese,2,0,H,2,0,H,,,,1.5,2.9,5.5,1.5,3.25,6.5,1.5,3.1,7.0,IT,2001/2002
I2,2001-10-14,Siena,Como,0,1,A,0,0,D,,,,2.3,2.4,3.0,2.1,2.6,3.75,2.2,2.5,3.6,IT,2001/2002
I2,2001-10-14,Ternana,Ancona,0,1,A,0,0,D,,,,1.8,2.7,3.9,1.8,2.7,5.0,1.8,2.75,4.6,IT,2001/2002
I2,2001-10-15,Crotone,Vicenza,3,4,A,1,1,D,,,,2.6,2.4,2.7,2.88,2.5,2.62,2.7,2.5,2.75,IT,2001/2002
I2,2001-10-26,Cagliari,Reggina,0,0,D,0,0,D,2.62,2.65,2.7,2.5,2.5,2.7,2.6,2.6,2.8,2.6,2.6,2.7,IT,2001/2002
I2,2001-10-28,Ancona,Cittadella,0,1,A,0,0,D,1.63,2.95,5.65,1.6,2.8,5.0,1.57,3.0,6.5,1.6,2.9,6.0,IT,2001/2002
I2,2001-10-28,Como,Messina,2,1,H,0,0,D,1.75,2.85,4.85,1.65,2.8,4.6,1.67,2.88,5.5,1.75,2.65,5.25,IT,2001/2002
I2,2001-10-28,Cosenza,Siena,2,1,H,2,0,H,1.87,2.75,4.35,1.8,2.7,3.9,1.83,2.62,5.0,1.75,2.65,5.25,IT,2001/2002
I2,2001-10-28,Empoli,Crotone,1,0,H,0,0,D,1.58,3.05,5.9,1.55,2.9,5.2,1.5,3.2,7.0,1.55,3.0,6.5,IT,2001/2002
I2,2001-10-28,Genoa,Salernitana,4,0,H,1,0,H,1.72,2.85,4.85,1.7,2.8,4.2,1.73,2.88,5.0,1.7,2.85,5.0,IT,2001/2002
I2,2001-10-28,Napoli,Sampdoria,1,1,D,0,1,A,2.1,2.7,3.55,2.1,2.5,3.3,1.91,2.7,4.33,2.0,2.7,3.8,IT,2001/2002
I2,2001-10-28,Pistoiese,Bari,1,0,H,1,0,H,2.62,2.6,2.75,2.5,2.5,2.7,2.5,2.6,2.9,2.6,2.5,2.85,IT,2001/2002
I2,2001-10-28,Vicenza,Modena,0,5,A,0,3,A,1.85,2.75,4.45,1.8,2.6,4.2,1.8,2.7,5.0,1.75,2.65,5.25,IT,2001/2002
I2,2001-10-29,Palermo,Ternana,3,0,H,2,0,H,2.15,2.65,3.5,2.2,2.4,3.1,2.2,2.5,3.75,2.2,2.5,3.6,IT,2001/2002
I2,2001-01-11,Napoli,Vicenza,0,0,D,0,0,D,2.15,2.7,3.4,,,,,,,2.1,2.6,3.6,IT,2001/2002
I2,2001-02-11,Modena,Empoli,0,1,A,0,0,D,1.95,2.55,4.25,2.0,2.5,3.5,,,,1.8,2.7,4.6,IT,2001/2002
I2,2001-04-11,Bari,Napoli,0,1,A,0,1,A,2.2,2.55,3.4,2.3,2.5,2.9,,,,2.4,2.6,2.95,IT,2001/2002
I2,2001-04-11,Cittadella,Cagliari,0,2,A,0,2,A,2.2,2.6,3.3,2.3,2.5,2.9,,,,2.3,2.6,3.2,IT,2001/2002
I2,2001-04-11,Como,Vicenza,1,0,H,0,0,D,2.4,2.5,3.1,2.4,2.5,2.8,,,,2.3,2.5,3.25,IT,2001/2002
I2,2001-04-11,Crotone,Reggina,1,2,A,0,0,D,2.8,2.45,2.65,2.7,2.4,2.6,,,,2.7,2.5,2.7,IT,2001/2002
I2,2001-04-11,Messina,Cosenza,3,1,H,0,0,D,2.1,2.5,3.8,2.1,2.4,3.5,,,,2.0,2.6,4.0,IT,2001/2002
I2,2001-04-11,Salernitana,Ancona,2,0,H,0,0,D,2.0,2.65,3.8,2.0,2.5,3.5,,,,1.95,2.75,3.8,IT,2001/2002
I2,2001-04-11,Siena,Palermo,1,1,D,1,1,D,2.1,2.55,3.65,2.1,2.5,3.5,,,,2.2,2.6,3.4,IT,2001/2002
I2,2001-04-11,Ternana,Pistoiese,0,1,A,0,0,D,1.7,2.9,4.85,1.65,2.8,4.5,,,,1.65,2.9,5.5,IT,2001/2002
I2,2001-05-11,Genoa,Sampdoria,1,0,H,0,0,D,2.4,2.5,3.1,2.4,2.8,2.8,,,,2.5,2.6,2.85,IT,2001/2002
I2,2001-08-11,Pistoiese,Como,0,1,A,0,0,D,2.6,2.5,2.9,2.6,2.4,2.7,,,,2.6,2.45,2.9,IT,2001/2002
I2,2001-09-11,Napoli,Crotone,0,0,D,0,0,D,1.6,3.0,5.85,1.6,2.8,5.0,,,,1.6,2.9,6.0,IT,2001/2002
I2,2001-11-11,Cagliari,Ternana,1,1,D,0,0,D,1.85,2.7,4.6,1.85,2.6,3.9,,,,1.8,2.75,4.6,IT,2001/2002
I2,2001-11-11,Cosenza,Genoa,2,1,H,1,1,D,2.6,2.5,2.9,2.5,2.4,2.8,,,,2.55,2.5,2.9,IT,2001/2002
I2,2001-11-11,Empoli,Salernitana,3,1,H,1,0,H,1.7,3.0,4.8,1.65,2.9,4.4,,,,1.65,2.95,5.2,IT,2001/2002
I2,2001-11-11,Palermo,Modena,2,1,H,1,0,H,2.45,2.55,3.1,2.3,2.4,3.0,,,,2.4,2.6,2.95,IT,2001/2002
I2,2001-12-11,Vicenza,Ancona,2,1,H,2,0,H,1.72,3.1,4.3,1.6,2.9,4.8,,,,1.55,3.05,6.0,IT,2001/2002
I2,2001-11-16,Cittadella,Bari,0,1,A,0,1,A,2.35,2.75,2.95,2.3,2.6,2.8,,,,2.35,2.75,2.9,IT,2001/2002
I2,2001-11-18,Ancona,Cosenza,2,3,A,1,1,D,1.9,2.8,4.1,1.9,2.6,3.8,,,,1.9,2.65,4.3,IT,2001/2002
I2,2001-11-18,Como,Palermo,3,0,H,2,0,H,1.8,2.8,4.65,1.8,2.6,4.0,,,,1.8,2.75,4.5,IT,2001/2002
I2,2001-11-18,Crotone,Sampdoria,1,1,D,1,0,H,2.45,2.7,2.85,2.5,2.5,2.7,,,,2.4,2.7,2.85,IT,2001/2002
I2,2001-11-18,Messina,Napoli,2,1,H,1,0,H,2.7,2.65,2.63,2.5,2.4,2.8,,,,2.5,2.6,2.85,IT,2001/2002
I2,2001-11-18,Modena,Reggina,3,1,H,3,0,H,2.25,2.7,3.2,2.2,2.5,3.1,,,,2.2,2.6,3.35,IT,2001/2002
I2,2001-11-18,Salernitana,Cagliari,1,0,H,0,0,D,2.1,2.75,3.4,2.0,2.6,3.5,,,,1.9,2.8,3.9,IT,2001/2002
