Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Country,Season
I2,2005-08-26,Verona,Avellino,0,0,D,0,0,D,1.66,2.87,5.5,1.67,3.0,5.25,1.75,2.9,4.8,1.85,2.8,4.0,,,,1.73,2.9,5.0,1.7,2.9,5.3,1.67,2.88,5.75,1.7,3.0,5.0,15.0,1.85,1.74,3.0,2.91,6.2,5.35,9.0,2.32,2.12,1.71,1.61,3.0,-0.5,1.86,1.82,2.03,2.0,IT,2005/2006
I2,2005-08-27,Bari,Ternana,2,0,H,1,0,H,1.9,2.87,4.0,2.05,2.75,3.75,2.0,2.7,3.95,2.1,2.7,3.3,,,,2.0,2.7,4.0,1.9,2.8,4.2,2.0,2.7,4.0,,,,15.0,2.1,2.01,2.87,2.74,4.5,4.02,7.0,2.15,2.11,1.65,1.59,2.0,-0.25,1.7,1.7,2.21,2.18,IT,2005/2006
I2,2005-08-27,Catanzaro,Vicenza,1,1,D,0,1,A,2.25,2.8,3.1,2.15,2.8,3.35,2.15,2.8,3.3,2.3,2.7,2.9,,,,2.25,2.75,3.2,2.25,2.8,3.1,2.25,2.75,3.2,2.1,2.8,3.4,15.0,2.45,2.25,2.95,2.77,3.5,3.28,7.0,2.1,2.01,1.65,1.64,2.0,-0.25,2.02,2.01,1.85,1.84,IT,2005/2006
I2,2005-08-29,Triestina,Bologna,0,0,D,0,0,D,2.2,2.75,3.2,2.25,2.75,3.2,2.25,2.75,3.15,2.4,2.7,2.8,,,,2.38,2.75,3.0,2.25,2.8,3.1,2.1,2.75,3.5,2.4,2.7,3.0,18.0,2.7,2.33,2.8,2.77,3.5,3.12,11.0,2.2,2.08,1.67,1.63,3.0,-0.25,2.14,2.11,1.75,1.72,IT,2005/2006
I2,2005-02-09,Catania,Brescia,2,1,H,1,0,H,2.0,2.75,4.0,2.05,2.7,3.8,2.0,2.75,3.8,2.1,2.7,3.3,2.0,2.8,3.75,2.05,2.75,3.8,2.05,2.75,3.6,2.0,2.75,3.9,2.0,2.7,4.0,32.0,2.2,2.07,2.9,2.74,4.25,3.81,14.0,2.15,2.06,1.65,1.61,3.0,-0.25,1.94,1.94,1.94,1.94,IT,2005/2006
I2,2005-04-09,Atalanta,Verona,3,2,H,2,1,H,1.5,3.3,7.0,1.4,3.65,7.5,1.45,3.4,7.0,1.5,3.2,5.8,1.44,3.4,7.0,1.5,3.4,6.5,1.5,3.4,6.0,1.5,3.25,7.0,1.45,3.4,7.0,34.0,1.7,1.49,3.7,3.35,8.5,6.72,11.0,2.0,1.96,1.75,1.67,2.0,-1.0,1.85,1.85,1.75,1.75,IT,2005/2006
I2,2005-04-09,Avellino,Triestina,0,1,A,0,0,D,2.1,2.7,3.75,2.2,2.55,3.65,2.15,2.65,3.55,2.1,2.7,3.3,2.0,2.8,3.75,2.2,2.7,3.5,2.15,2.75,3.35,2.2,2.7,3.4,2.2,2.6,3.5,36.0,2.2,2.14,2.8,2.69,4.0,3.58,17.0,2.35,2.14,1.65,1.56,9.0,-0.25,1.88,1.86,2.05,2.0,IT,2005/2006
I2,2005-04-09,Cremonese,Catanzaro,2,0,H,0,0,D,1.83,2.9,4.5,1.85,2.75,4.6,1.8,2.85,4.5,1.8,2.8,4.2,1.7,3.0,5.0,1.83,2.88,4.5,1.85,2.9,4.1,1.8,2.75,5.0,1.85,2.8,4.5,35.0,1.9,1.81,2.95,2.83,5.5,4.68,17.0,2.2,2.05,1.7,1.62,7.0,-0.5,1.85,1.82,2.11,2.05,IT,2005/2006
I2,2005-04-09,Crotone,Piacenza,4,0,H,2,0,H,2.3,2.7,3.25,2.4,2.6,3.1,2.3,2.7,3.1,2.4,2.7,2.8,2.3,2.75,3.1,2.38,2.75,3.0,2.3,2.75,3.05,2.3,2.7,3.2,2.3,2.7,3.1,36.0,2.45,2.35,2.75,2.69,3.45,3.11,17.0,2.25,2.13,1.61,1.56,9.0,0.0,1.75,1.71,2.23,2.13,IT,2005/2006
I2,2005-04-09,Mantova,Arezzo,1,0,H,1,0,H,2.1,2.75,3.6,2.15,2.7,3.55,2.05,2.75,3.65,2.1,2.7,3.3,2.0,2.75,3.75,2.1,2.75,3.6,2.1,2.8,3.4,2.1,2.75,3.5,2.1,2.75,3.5,36.0,2.25,2.12,2.8,2.72,3.85,3.59,17.0,2.25,2.08,1.65,1.6,9.0,-0.25,2.02,1.96,1.94,1.9,IT,2005/2006
I2,2005-04-09,Rimini,Modena,1,1,D,0,0,D,2.4,2.75,3.0,2.3,2.65,3.25,2.4,2.7,2.95,2.4,2.7,2.8,2.25,2.7,3.25,2.4,2.7,3.1,2.45,2.7,2.85,2.38,2.75,3.0,2.4,2.7,3.0,36.0,2.6,2.4,3.0,2.7,3.3,3.03,17.0,2.2,2.05,1.7,1.61,9.0,0.0,1.82,1.75,2.18,2.08,IT,2005/2006
I2,2005-04-09,Ternana,Albinoleffe,1,0,H,0,0,D,2.0,2.75,4.0,2.0,2.8,3.75,1.95,2.8,3.9,2.0,2.7,3.6,1.9,2.75,4.33,2.0,2.75,4.0,1.9,2.85,4.0,2.0,2.75,3.9,2.0,2.7,4.0,36.0,2.17,2.01,2.85,2.75,4.35,3.9,17.0,2.05,1.98,1.71,1.66,9.0,-0.25,2.05,1.98,1.92,1.88,IT,2005/2006
I2,2005-04-09,Vicenza,Cesena,1,0,H,1,0,H,2.2,2.75,3.4,2.4,2.7,3.0,2.2,2.7,3.3,2.1,2.7,3.3,2.1,2.75,3.5,2.2,2.75,3.4,2.1,2.8,3.4,2.25,2.75,3.2,2.2,2.75,3.25,36.0,2.4,2.2,2.8,2.71,3.75,3.41,17.0,2.1,2.02,1.7,1.63,9.0,-0.25,1.96,1.91,1.96,1.95,IT,2005/2006
I2,2005-05-09,Bologna,Pescara,2,1,H,1,0,H,1.5,3.3,7.0,1.5,3.2,7.0,1.47,3.3,7.0,1.55,3.1,5.5,1.5,3.4,6.5,1.5,3.4,6.5,1.45,3.4,7.0,1.5,3.25,7.0,1.5,3.2,7.0,33.0,1.55,1.49,3.55,3.32,8.0,6.88,12.0,2.0,1.9,1.85,1.73,2.0,-1.0,2.0,2.0,1.65,1.65,IT,2005/2006
I2,2005-07-09,Arezzo,Crotone,2,0,H,0,0,D,2.0,2.8,3.75,2.0,2.7,4.0,2.0,2.8,3.75,2.1,2.7,3.3,2.0,2.8,3.75,2.0,2.8,3.75,2.0,2.8,3.7,2.0,2.75,3.9,1.75,2.9,5.0,20.0,2.1,1.99,2.9,2.8,5.0,3.91,9.0,2.25,2.03,1.65,1.63,4.0,-0.5,1.97,1.89,2.0,1.97,IT,2005/2006
I2,2005-07-09,Cesena,Atalanta,0,2,A,0,1,A,2.8,2.75,2.5,3.05,2.65,2.4,2.85,2.7,2.45,2.8,2.6,2.5,3.0,2.75,2.38,3.0,2.7,2.4,2.8,2.75,2.45,2.88,2.7,2.5,2.8,2.8,2.4,20.0,3.15,2.94,2.85,2.7,2.55,2.45,9.0,2.32,2.05,1.65,1.62,4.0,0.0,2.1,2.0,1.84,1.8,IT,2005/2006
I2,2005-09-09,Avellino,Brescia,2,5,A,1,3,A,2.5,2.62,3.0,2.7,2.5,2.85,2.5,2.65,2.9,2.5,2.6,2.8,2.4,2.75,2.9,2.6,2.7,2.75,2.5,2.65,2.9,2.5,2.7,2.88,2.5,2.65,2.9,40.0,3.3,2.67,2.8,2.66,3.05,2.75,21.0,2.45,2.28,1.55,1.52,13.0,0.0,2.17,2.03,1.85,1.78,IT,2005/2006
I2,2005-10-09,Atalanta,Triestina,1,0,H,0,0,D,1.44,3.5,7.5,1.45,3.5,6.9,,,,,,,1.5,3.2,6.5,1.44,3.5,7.0,1.45,3.4,7.0,1.44,3.6,6.5,,,,20.0,1.6,1.48,3.7,3.38,8.0,6.98,13.0,2.07,2.01,1.8,1.67,11.0,-1.0,2.28,2.12,1.88,1.74,IT,2005/2006
I2,2005-10-09,Bologna,Modena,1,2,A,0,1,A,2.0,2.75,4.0,2.0,2.7,4.0,1.95,2.75,4.1,1.9,2.7,4.0,2.0,2.7,4.0,1.95,2.8,4.0,1.9,2.7,4.3,2.0,2.7,4.0,2.0,2.7,4.0,23.0,2.2,2.0,2.85,2.74,4.5,4.0,16.0,2.25,2.13,1.61,1.57,11.0,-0.25,1.94,1.86,2.12,1.98,IT,2005/2006
I2,2005-10-09,Catania,Arezzo,0,0,D,0,0,D,1.72,3.0,5.0,1.7,3.0,5.0,,,,,,,1.67,3.0,5.2,1.8,2.9,4.5,1.8,2.9,4.5,1.73,2.88,5.0,,,,20.0,1.83,1.74,3.15,2.96,6.1,5.08,13.0,2.15,2.02,1.7,1.66,11.0,-0.5,1.85,1.77,2.18,2.09,IT,2005/2006
