Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Country,Season
I2,2008-08-29,Parma,Rimini,1,1,D,1,1,D,1.5,3.25,7.5,1.45,3.6,7.0,1.55,3.3,6.0,1.55,3.3,5.2,1.5,3.3,6.5,1.57,3.3,5.75,1.5,3.4,6.0,1.53,3.4,6.5,1.55,3.4,5.5,,,,23.0,1.65,1.54,3.58,3.37,7.5,6.21,17.0,2.12,1.97,1.85,1.79,10.0,-0.75,1.89,1.86,2.08,2.03,IT,2008/2009
I2,2008-08-30,Ascoli,Vicenza,1,0,H,1,0,H,1.91,2.88,4.33,1.68,3.05,5.25,1.9,2.8,4.33,1.85,2.9,4.0,1.83,2.88,4.33,1.8,3.0,4.5,1.8,2.9,4.5,1.7,3.0,5.5,1.85,2.9,4.35,1.83,2.88,4.33,26.0,1.93,1.83,3.3,2.94,5.5,4.57,17.0,2.19,2.04,1.8,1.73,10.0,-0.5,1.93,1.9,2.06,1.98,IT,2008/2009
I2,2008-08-30,Avellino,Livorno,1,3,A,0,1,A,4.33,2.88,1.91,3.4,3.05,2.05,3.4,2.9,2.1,3.0,2.9,2.2,3.6,2.88,2.0,3.4,2.85,2.15,3.4,2.8,2.1,3.6,2.88,2.1,3.6,2.9,2.0,3.5,2.75,2.1,14.0,5.13,4.1,3.0,2.88,2.01,1.94,9.0,2.15,2.03,1.74,1.7,4.0,0.5,1.98,1.94,1.99,1.95,IT,2008/2009
I2,2008-08-30,Empoli,Brescia,2,2,D,1,0,H,2.1,2.8,3.8,1.95,3.0,3.75,2.2,2.8,3.3,2.1,2.8,3.3,2.1,2.8,3.5,2.2,2.85,3.25,2.1,2.9,3.3,2.1,2.88,3.6,2.2,2.8,3.3,2.1,2.8,3.4,28.0,2.3,2.1,3.17,2.89,4.02,3.5,17.0,2.28,2.05,1.8,1.7,10.0,-0.25,1.88,1.82,2.15,2.07,IT,2008/2009
I2,2008-08-30,Mantova,Frosinone,2,0,H,0,0,D,1.73,3.1,5.0,1.72,3.05,4.9,1.7,3.0,5.25,1.75,3.0,4.4,1.7,2.88,5.5,1.7,3.0,5.25,1.75,3.0,4.5,1.75,2.88,5.5,1.7,2.9,5.5,1.67,3.1,5.0,26.0,1.73,1.68,3.51,3.08,6.7,5.52,16.0,2.14,2.03,1.81,1.75,9.0,-0.75,1.95,1.92,2.02,1.97,IT,2008/2009
I2,2008-08-30,Modena,Albinoleffe,0,2,A,0,0,D,2.3,2.9,3.1,2.3,2.9,3.0,2.3,2.9,3.0,2.3,2.8,2.9,2.25,2.75,3.2,2.4,2.85,2.9,2.4,2.75,2.9,2.45,2.8,3.0,2.3,2.8,3.1,2.4,2.88,2.8,27.0,2.51,2.36,3.09,2.87,3.24,2.98,17.0,2.18,2.03,1.8,1.74,10.0,-0.25,2.13,2.09,1.82,1.8,IT,2008/2009
I2,2008-08-30,Piacenza,Cittadella,1,0,H,1,0,H,1.91,3.0,4.2,1.8,3.0,4.5,1.85,2.9,4.5,1.8,2.9,4.2,1.8,2.88,4.5,1.85,3.0,4.2,1.8,3.0,4.2,1.8,3.0,4.75,1.9,2.9,4.0,1.8,3.0,4.2,28.0,2.04,1.87,3.08,2.97,4.75,4.27,18.0,2.2,2.05,1.78,1.72,10.0,-0.5,2.05,2.01,1.91,1.88,IT,2008/2009
I2,2008-08-30,Pisa,Grosseto,1,2,A,1,0,H,2.1,2.8,3.75,1.8,3.0,4.5,2.1,2.8,3.6,2.0,2.8,3.6,2.0,2.8,3.75,2.0,2.85,3.8,1.9,2.9,4.0,2.0,2.75,4.2,2.0,2.9,3.75,1.91,2.88,4.0,27.0,2.2,2.03,3.0,2.86,4.2,3.78,17.0,2.31,2.09,1.72,1.67,10.0,-0.25,1.87,1.85,2.09,2.04,IT,2008/2009
I2,2008-08-30,Salernitana,Sassuolo,1,0,H,1,0,H,2.05,3.0,3.6,1.95,2.95,3.85,2.0,2.9,3.75,1.9,2.9,3.8,1.91,2.88,4.0,1.9,2.9,4.2,2.0,2.9,3.6,2.0,2.88,4.0,2.0,2.9,3.75,2.0,2.8,3.75,26.0,2.2,2.01,3.0,2.89,4.33,3.81,16.0,2.24,2.05,1.73,1.7,9.0,-0.5,2.2,2.15,1.77,1.75,IT,2008/2009
I2,2008-08-30,Treviso,Ancona,2,2,D,1,1,D,1.91,3.0,4.33,1.7,3.0,5.25,2.0,2.9,3.75,1.85,2.9,4.2,1.8,2.88,4.5,1.85,3.0,4.2,1.9,3.0,3.75,1.8,3.0,4.75,,,,1.83,2.88,4.33,26.0,2.0,1.86,3.04,2.95,5.32,4.34,17.0,2.35,2.1,1.73,1.67,10.0,-0.5,2.0,1.96,1.97,1.93,IT,2008/2009
