Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Country,Season
I2,1999-08-29,Alzano,Monza,2.0,1.0,H,0.0,1.0,A,IT,1999/2000
I2,1999-08-29,Brescia,Savoia,1.0,1.0,D,0.0,1.0,A,IT,1999/2000
I2,1999-08-29,Cesena,Pescara,0.0,0.0,D,0.0,0.0,D,IT,1999/2000
I2,1999-08-29,Chievo,Salernitana,3.0,1.0,H,1.0,1.0,D,IT,1999/2000
I2,1999-08-29,Cosenza,Atalanta,0.0,1.0,A,0.0,1.0,A,IT,1999/2000
I2,1999-08-29,Empoli,Fermana,1.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-08-29,Genoa,Ternana,2.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-08-29,Napoli,Ravenna,1.0,1.0,D,0.0,1.0,A,IT,1999/2000
I2,1999-08-29,Pistoiese,Sampdoria,0.0,1.0,A,0.0,1.0,A,IT,1999/2000
I2,1999-08-29,Treviso,Vicenza,0.0,1.0,A,0.0,0.0,D,IT,1999/2000
I2,1999-05-09,Atalanta,Treviso,3.0,2.0,H,2.0,0.0,H,IT,1999/2000
I2,1999-05-09,Fermana,Pistoiese,0.0,0.0,D,0.0,0.0,D,IT,1999/2000
I2,1999-05-09,Monza,Napoli,0.0,0.0,D,0.0,0.0,D,IT,1999/2000
I2,1999-05-09,Pescara,Chievo,2.0,1.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-05-09,Ravenna,Cosenza,0.0,0.0,D,0.0,0.0,D,IT,1999/2000
I2,1999-05-09,Salernitana,Cesena,1.0,1.0,D,0.0,1.0,A,IT,1999/2000
I2,1999-05-09,Sampdoria,Brescia,0.0,0.0,D,0.0,0.0,D,IT,1999/2000
I2,1999-05-09,Savoia,Empoli,1.0,0.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-05-09,Ternana,Alzano,1.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-05-09,Vicenza,Genoa,1.0,1.0,D,0.0,0.0,D,IT,1999/2000
I2,1999-12-09,Alzano,Chievo,2.0,1.0,H,0.0,1.0,A,IT,1999/2000
I2,1999-12-09,Brescia,Salernitana,4.0,1.0,H,4.0,1.0,H,IT,1999/2000
I2,1999-12-09,Cosenza,Monza,2.0,1.0,H,1.0,1.0,D,IT,1999/2000
I2,1999-12-09,Empoli,Sampdoria,1.0,0.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-12-09,Genoa,Pescara,1.0,2.0,A,0.0,0.0,D,IT,1999/2000
I2,1999-12-09,Napoli,Fermana,4.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-12-09,Pistoiese,Savoia,2.0,1.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-12-09,Ravenna,Atalanta,1.0,3.0,A,1.0,1.0,D,IT,1999/2000
I2,1999-12-09,Ternana,Vicenza,1.0,0.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-12-09,Treviso,Cesena,2.0,1.0,H,1.0,1.0,D,IT,1999/2000
I2,1999-09-19,Cesena,Genoa,1.0,0.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-09-19,Chievo,Ternana,0.0,1.0,A,0.0,0.0,D,IT,1999/2000
I2,1999-09-19,Fermana,Brescia,1.0,2.0,A,0.0,1.0,A,IT,1999/2000
I2,1999-09-19,Monza,Empoli,1.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-09-19,Pescara,Cosenza,1.0,1.0,D,0.0,0.0,D,IT,1999/2000
I2,1999-09-19,Salernitana,Pistoiese,2.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-09-19,Sampdoria,Ravenna,2.0,1.0,H,1.0,1.0,D,IT,1999/2000
I2,1999-09-19,Savoia,Treviso,1.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-09-19,Vicenza,Alzano,3.0,1.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-09-20,Atalanta,Napoli,1.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-09-24,Genoa,Salernitana,3.0,0.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-09-26,Alzano,Brescia,0.0,1.0,A,0.0,1.0,A,IT,1999/2000
I2,1999-09-26,Empoli,Cesena,2.0,1.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-09-26,Napoli,Vicenza,2.0,1.0,H,0.0,1.0,A,IT,1999/2000
I2,1999-09-26,Pescara,Fermana,4.0,2.0,H,1.0,2.0,A,IT,1999/2000
I2,1999-09-26,Pistoiese,Chievo,2.0,1.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-09-26,Ravenna,Savoia,4.0,0.0,H,2.0,0.0,H,IT,1999/2000
I2,1999-09-26,Ternana,Atalanta,1.0,1.0,D,1.0,1.0,D,IT,1999/2000
I2,1999-09-26,Treviso,Monza,3.0,1.0,H,2.0,0.0,H,IT,1999/2000
I2,1999-09-27,Cosenza,Sampdoria,1.0,2.0,A,0.0,0.0,D,IT,1999/2000
I2,1999-01-10,Vicenza,Empoli,6.0,0.0,H,5.0,0.0,H,IT,1999/2000
I2,1999-03-10,Atalanta,Pescara,3.0,1.0,H,2.0,0.0,H,IT,1999/2000
I2,1999-03-10,Brescia,Pistoiese,2.0,0.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-03-10,Cesena,Alzano,1.0,1.0,D,1.0,0.0,H,IT,1999/2000
I2,1999-03-10,Chievo,Genoa,1.0,0.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-03-10,Fermana,Treviso,1.0,1.0,D,0.0,0.0,D,IT,1999/2000
I2,1999-03-10,Monza,Ravenna,1.0,1.0,D,1.0,1.0,D,IT,1999/2000
I2,1999-03-10,Sampdoria,Ternana,2.0,2.0,D,1.0,1.0,D,IT,1999/2000
I2,1999-03-10,Savoia,Cosenza,2.0,2.0,D,1.0,2.0,A,IT,1999/2000
I2,1999-04-10,Salernitana,Napoli,1.0,1.0,D,0.0,1.0,A,IT,1999/2000
I2,1999-08-10,Monza,Brescia,1.0,1.0,D,1.0,0.0,H,IT,1999/2000
I2,1999-10-10,Alzano,Salernitana,3.0,2.0,H,3.0,0.0,H,IT,1999/2000
I2,1999-10-10,Cosenza,Genoa,1.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-10-10,Fermana,Savoia,3.0,2.0,H,2.0,1.0,H,IT,1999/2000
I2,1999-10-10,Napoli,Chievo,3.0,2.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-10-10,Pescara,Treviso,2.0,2.0,D,2.0,0.0,H,IT,1999/2000
I2,1999-10-10,Ravenna,Vicenza,2.0,1.0,H,2.0,1.0,H,IT,1999/2000
I2,1999-10-10,Sampdoria,Atalanta,1.0,0.0,H,0.0,0.0,D,IT,1999/2000
I2,1999-10-10,Ternana,Cesena,2.0,2.0,D,2.0,0.0,H,IT,1999/2000
I2,1999-11-10,Pistoiese,Empoli,2.0,0.0,H,1.0,0.0,H,IT,1999/2000
I2,1999-10-22,Genoa,Sampdoria,1.0,1.0,D,0.0,1.0,A,IT,1999/2000
